CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/26/2020,20:30,,,,,,NASSAU EXPRESSWAY               ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4294020,Sedan,Station Wagon/Sport Utility Vehicle,,,
08/16/2012,18:30,BRONX,10457,40.8531409,-73.9016967,"(40.8531409, -73.9016967)",ANTHONY AVENUE                  ,EAST 180 STREET                 ,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,92316,PASSENGER VEHICLE,,,,
07/23/2019,10:23,QUEENS,11413,40.665478,-73.748795,"(40.665478, -73.748795)",EDGEWOOD AVENUE                 ,SOUTH CONDUIT AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4176185,Sedan,Sedan,,,
12/03/2012,14:30,MANHATTAN,10035,40.8005566,-73.940205,"(40.8005566, -73.940205)",LEXINGTON AVENUE                ,EAST 119 STREET                 ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,60270,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/15/2014,18:50,BROOKLYN,11207,40.6643339,-73.8968385,"(40.6643339, -73.8968385)",ALABAMA AVENUE                  ,LIVONIA AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2808950,PASSENGER VEHICLE,UNKNOWN,,,
04/14/2014,11:10,QUEENS,11422,40.6653475,-73.7298508,"(40.6653475, -73.7298508)",SOUTH CONDUIT AVENUE            ,HOOKCREEK BOULEVARD             ,,4,0,0,0,0,0,4,0,Fatigued/Drowsy,Unspecified,,,,320835,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/12/2019,15:14,,,40.841133,-73.924,"(40.841133, -73.924)",WEST 170 STREET                 ,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4113696,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/24/2018,19:15,QUEENS,11373,40.735752,-73.88052,"(40.735752, -73.88052)",GRAND AVENUE                    ,GOLDSMITH STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4009256,,,,,
06/26/2015,8:30,BROOKLYN,11233,40.6847663,-73.9175573,"(40.6847663, -73.9175573)",SARATOGA AVENUE                 ,MACON STREET                    ,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3247133,OTHER,PASSENGER VEHICLE,,,
02/18/2014,14:45,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,2914024,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
