UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX
9461137,3961082,08/08/2018,22:00,65bf4c21-e222-4235-a360-938aff3b31e3,Occupant,Unspecified,18749517,69,,,,,,,,,Registrant,,,F
9610916,4032234,11/25/2018,2:02,c9d675e4-11ac-49ac-9525-e1960c725507,Occupant,Unspecified,18823541,46,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
9064300,4086666,02/25/2019,14:55,80fd2fd9-fc42-48a8-b65c-9597d7d26936,Occupant,Unspecified,18554372,56,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M
10027857,4178529,07/27/2019,13:30,3bc87a00-b758-4b11-b24a-532aecf570ee,Occupant,Unspecified,19030070,71,,,,,,,,,Registrant,,,M
6043650,3593814,01/08/2017,10:00,0990a664-4772-459e-99bd-f96e8a53a5f7,Occupant,Unspecified,17085131,33,,,,,,,,,Registrant,,,M
7882543,3815604,12/23/2017,9:15,2fe02b71-7cf0-4f10-8716-0dcf1991646a,Occupant,Injured,17971002,35,Not Ejected,Conscious,Elbow-Lower-Arm-Hand,Driver,Lap Belt & Harness,,,Complaint of Pain,Driver,,,M
6017027,3445472,05/20/2016,21:40,739263,Occupant,Unspecified,17072411,,,,,,,,,,Registrant,,,U
6921450,3661284,05/01/2017,8:00,1c9a8f77-c78a-4ef7-af0d-bdfb4911fd34,Occupant,Unspecified,17503627,0,,,,,,,,,Registrant,,,U
10060784,4185610,08/08/2019,16:25,da55ea80-18ad-40bf-b988-acd7c9d1e30e,Occupant,Unspecified,19046527,42,,,,,,,,,Registrant,,,M
7697381,3899713,05/13/2018,18:05,369627d9-7a51-49d7-9b87-d52c8cd9d2ce,Occupant,Unspecified,17880905,0,,,,,,,,,Registrant,,,U
9692646,4049912,12/21/2018,17:45,3a280d1f-ae11-4b2b-ab2f-8c2bb134c7ed,Occupant,Unspecified,18863986,0,,,,,,,,,Registrant,,,M
6262593,3523632,09/17/2016,0:45,2027788,Occupant,Unspecified,17189454,40,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,F
9582388,4034892,11/26/2018,21:05,21478495-74e1-4ae5-96e4-85a8e6755dae,Occupant,Unspecified,18809504,0,,,,,,,,,Registrant,,,M
7390766,3844607,02/11/2017,0:01,f851ba3f-7f60-4563-afa4-16c1dc81b5d9,Occupant,Unspecified,17730507,45,,,,,,,,,Registrant,,,M
7010090,3681332,05/31/2017,8:55,d8bd5c5d-2290-4deb-bb52-9efe00d185e7,Occupant,Unspecified,17546135,50,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
7141516,3707303,07/05/2017,13:15,79fda670-b972-4f7a-8c5a-ac85df6baa79,Occupant,Unspecified,17608946,4,Not Ejected,Does Not Apply,Does Not Apply,Unknown,Unknown,,,Does Not Apply,Passenger,,,U
7195920,3731852,08/16/2017,9:45,aa8b94c4-3f9d-4314-89ba-a9598c94c017,Occupant,Unspecified,17635150,0,,,,,,,,,Registrant,,,
6135499,3605191,01/27/2017,15:26,f7f9030d-deb9-4089-af20-ad163f6a481b,Occupant,Unspecified,17129460,67,,,,,,,,,Registrant,,,M
7561958,3861945,03/12/2018,17:45,12b35345-4845-4b79-a3bc-079cd55b1a82,Occupant,Unspecified,17814501,49,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7487943,3864244,03/17/2018,7:00,660c2dc2-7103-4ad4-a5a4-68a7ccc46215,Occupant,Unspecified,17778137,32,,,,,,,,,Registrant,,,M
2301636,3385140,02/06/2016,1:00,1,Bicyclist,Injured,15041715,54,,,,,,,,,,,,
9140552,4110445,04/04/2019,14:00,51e5be4b-0462-4410-a21b-3b8cfedaa5ae,Occupant,Unspecified,18592108,55,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7113788,3712966,07/17/2017,16:05,e3036d22-88e5-4986-8d34-681e93b8ea67,Occupant,Unspecified,17595638,46,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Passenger,,,M
6058839,3609562,01/24/2017,8:45,7677166a-dc87-4a4a-8302-bc5bcaf97a6b,Occupant,Unspecified,17092385,0,,,,,,,,,Registrant,,,M
6756933,3574641,12/06/2016,6:40,2943881,Occupant,Unspecified,17424646,34,,,,,,,,,Registrant,,,M
6323835,3473177,07/02/2016,14:30,1124983,Occupant,Unspecified,17218095,36,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7208257,3713446,07/18/2017,11:07,b175d84b-ce92-4948-8afa-8bfc1afc3e3d,Occupant,Injured,17641171,94,Not Ejected,Conscious,Face,"Middle rear seat, or passenger lying across a seat",Lap Belt,,,Complaint of Pain,Passenger,,,M
9477192,3998638,10/12/2018,7:15,ab027f1d-8fd0-4b94-bcf2-ad1a60ff3b93,Occupant,Unspecified,18757426,45,,,,,,,,,Registrant,,,M
2245443,3191992,03/25/2015,12:55,3,Occupant,Injured,14629196,19,,,,,,,,,,,,
9674937,3937690,07/09/2018,0:00,f320855f-ad92-4db5-b6bd-9eddf25047a4,Occupant,Unspecified,18855268,26,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
9828986,4129218,05/09/2019,8:15,6e40b6e3-f600-479f-a1b4-db5ffdee6c3d,Occupant,Unspecified,18931475,32,,,,,,,,,Registrant,,,F
6287086,3500313,08/12/2016,12:11,1584787,Pedestrian,Injured,,10,,Conscious,Neck,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,Pedestrian,Unspecified,Unspecified,F
6051095,3597124,01/12/2017,10:00,d1e52c34-642a-4c97-b49e-c1644cff4ecc,Occupant,Unspecified,17088681,42,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,F
7755450,3813046,12/19/2017,9:35,70b1dd22-833d-4c4b-9a75-9239435e0cd9,Occupant,Unspecified,17908994,63,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
9811213,4128133,05/08/2019,14:30,60981876-aa19-4c37-a122-6effb41301f3,Occupant,Unspecified,18922724,0,,,,,,,,,Registrant,,,U
9994928,4170821,07/12/2019,23:58,aeaca418-990e-4906-924e-7243117e944f,Occupant,Unspecified,19013544,55,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M
7818179,3804194,12/07/2017,1:47,996ca865-b07a-4e6c-8658-7c3975f102a7,Occupant,Unspecified,17939503,0,,,,,,,,,Registrant,,,U
9030513,4109035,04/03/2019,13:10,71a5eb31-843f-4991-bc3c-3639e96f4a63,Occupant,Unspecified,18537597,33,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,F
7930921,3820492,12/28/2017,14:10,83d9e5ca-c9e0-4a34-b66b-fb2ffd5a750f,Occupant,Unspecified,17994873,71,,,,,,,,,Registrant,,,M
6548799,3533703,09/19/2016,8:40,2193655,Occupant,Unspecified,17324797,60,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
10171428,4211797,09/23/2019,18:00,9c960147-0f4c-4217-a80a-e92ad756fd11,Occupant,Unspecified,19102415,0,,,,,,,,,Registrant,,,F
6906009,3658944,04/28/2017,7:00,4af2a02f-f6bd-4ff8-b463-876e15ebbf93,Occupant,Unspecified,17496268,41,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
9578176,4053904,12/28/2018,16:43,c562b591-3124-470b-a548-024927e905ff,Occupant,Unspecified,18807415,63,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
6508607,3564222,11/20/2016,18:45,2765628,Occupant,Unspecified,,,,,,,,,,,Witness,,,
5977986,3437944,05/07/2016,20:58,606944,Occupant,Unspecified,17054052,5,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Unknown,,,Does Not Apply,Passenger,,,M
10271566,4234066,10/29/2019,13:50,2765e0a7-0e58-4d6d-825f-51711175f722,Occupant,Unspecified,19152256,47,,,,,,,,,Registrant,,,M
6243669,3470565,06/28/2016,18:40,1093654,Occupant,Unspecified,17180574,52,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
7760439,3783203,11/04/2017,23:20,8c39e97a-5105-4996-9a26-cee8a240b46f,Occupant,Unspecified,17911431,51,,,,,,,,,Registrant,,,F
7281531,3820963,01/03/2018,0:10,8679b49b-6725-4721-adb8-fdeeef4aee34,Occupant,Unspecified,17676582,23,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Does Not Apply,Passenger,,,M
6101276,3614647,02/10/2017,23:50,b26e5e46-b110-471e-88ee-c405661d62f6,Occupant,Unspecified,17112910,57,,,,,,,,,Registrant,,,M
6079205,3602389,01/20/2017,21:30,4d22a634-b895-4cb9-98c2-082983069f5b,Occupant,Injured,17102263,23,Not Ejected,Conscious,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain,Driver,,,F
9442439,4007518,10/25/2018,10:38,c614d7fa-4ff3-478e-893c-0f602bdcf563,Occupant,Unspecified,18740318,0,,,,,,,,,Registrant,,,F
6512517,3469031,06/24/2016,16:35,1051469,Occupant,Unspecified,17307557,32,,,,,,,,,Registrant,,,F
7859360,3754119,09/16/2017,17:35,36866676-9fe9-4ca6-9de1-a6b2037a0ea4,Occupant,Unspecified,17959675,0,,,,,,,,,Registrant,,,U
6543635,3510989,08/29/2016,13:35,1786763,Occupant,Injured,17322360,19,Not Ejected,Conscious,Shoulder - Upper Arm,Driver,Lap Belt,,,Complaint of Pain,Driver,,,M
7856276,3795791,11/22/2017,16:55,877f0315-5759-4d48-b172-9f6e25b50f53,Occupant,Unspecified,17958165,22,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
6193961,3501549,08/12/2016,12:30,1562266,Occupant,Unspecified,17157397,25,Not Ejected,Does Not Apply,Does Not Apply,Riding/Hanging on Outside,None,,,Does Not Apply,Passenger,,,F
7542932,3870525,03/26/2018,14:30,a1e67f65-9532-4adf-bee7-43e88f721670,Occupant,Unspecified,17805118,4,Not Ejected,Does Not Apply,Does Not Apply,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt & Harness,,,Does Not Apply,Passenger,,,F
6383969,3587773,12/22/2016,10:30,3137929,Occupant,Unspecified,17246549,45,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F
9297545,3910372,05/29/2018,14:40,88ba11fc-29c7-4e66-896f-bbf1603fd48d,Occupant,Unspecified,18669231,29,Not Ejected,Does Not Apply,Does Not Apply,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M
6093300,3617927,02/18/2017,16:15,1576fdcf-b4a8-4639-b8e5-aba6f8d5f1a7,Occupant,Unspecified,17109041,42,,,,,,,,,Registrant,,,M
9901155,4148651,06/10/2019,7:26,5bfa5874-9514-4484-8777-d68d8cc06f6b,Occupant,Unspecified,18967201,0,Not Ejected,Does Not Apply,Does Not Apply,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M
