UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2
19530861,4277820,01/14/2020,14:25,8ecf3192-f993-42eb-bf8a-8cf9cf218166,NY,Sedan,ACUR -CAR/SUV,,2003,Unknown,1,F,Licensed,NY,Parked,Right Rear Bumper,Right Rear Bumper,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
17731818,3843436,02/07/2018,20:30,14d99e1b-0839-4bda-b87f-46cff7c81474,NY,Sedan,CHEV -CAR/SUV,,2013,North,1,M,Licensed,NY,Going Straight Ahead,Left Rear Quarter Panel,Left Rear Quarter Panel,Left Rear Bumper,No Damage,No Damage,N,,Unspecified,Unspecified
9130841,332889,05/10/2014,1:00,1,NY,PASSENGER VEHICLE,,,,,,,,,Making Right Turn,,,,,,,,Failure to Yield Right-of-Way,
12055684,306297,03/12/2014,12:20,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
17410103,3519766,09/14/2016,18:25,794263,NY,Sedan,TOYT -CAR/SUV,,2014,East,1,M,Licensed,NY,Slowing or Stopping,Center Front End,No Damage,,,,N,,Other Vehicular,Unspecified
17607597,3728177,08/09/2017,16:25,f2a95ab4-495d-41f4-91a2-5fb8e1db5b1b,NY,Pick-up Truck,HINO,,2011,East,1,M,Licensed,NY,Passing,No Damage,No Damage,No Damage,No Damage,No Damage,N,,Driver Inattention/Distraction,Passing or Lane Usage Improper
19636369,4271088,11/21/2019,22:15,cd7e2c0b-dd3f-45ef-b7a1-84d4a26638cf,NY,Sedan,TOYT -CAR/SUV,,2006,South,1,M,Licensed,NY,Parked,Left Side Doors,No Damage,,,,N,,Driver Inattention/Distraction,Unspecified
14884208,3305859,09/28/2015,16:10,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
14836066,3281862,08/21/2015,7:00,4,NY,PASSENGER VEHICLE,,,,,,,,,Parked,,,,,,,,Unspecified,
15010013,3369117,01/12/2016,16:30,1,NY,PASSENGER VEHICLE,,,,,,,,,Going Straight Ahead,,,,,,,,Unspecified,
19150224,4233884,11/02/2019,19:48,434f65ef-f451-4fe4-8610-d96c3edc2bad,NJ,Sedan,HOND -CAR/SUV,,2013,North,3,M,Licensed,NJ,Going Straight Ahead,Right Rear Bumper,Right Rear Bumper,Right Rear Bumper,Right Rear Bumper,Right Rear Bumper,N,,Unspecified,Unspecified
17060253,3441697,05/14/2016,7:00,270712,,,,,,West,,,,,Going Straight Ahead,Left Front Bumper,Left Front Bumper,,,,N,,Driver Inattention/Distraction,Unspecified
18527332,4069557,01/26/2019,18:15,f3075bc4-708b-49d5-9dbd-64d5517e7a6b,NY,Station Wagon/Sport Utility Vehicle,JEEP -CAR/SUV,,2017,Unknown,0,,,,Parked,Right Front Bumper,Right Front Bumper,Right Front Quarter Panel,,,N,,Unspecified,Unspecified
19138717,4228883,10/23/2019,18:22,c467c2c4-8100-4adb-a546-b79bc428ecf1,NY,Station Wagon/Sport Utility Vehicle,RAM,,2015,North,1,M,Licensed,NY,Merging,Right Side Doors,Right Side Doors,Right Front Quarter Panel,No Damage,No Damage,N,,Failure to Yield Right-of-Way,Unspecified
11405882,151394,11/09/2013,21:55,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
13646916,3079150,11/12/2012,11:32,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,
13239685,244068,11/06/2013,11:00,2,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,
19792175,4366844,11/11/2020,2:30,6dcbd928-14c0-4131-9ec7-22326f2cbed4,NY,Station Wagon/Sport Utility Vehicle,TOYT -CAR/SUV,,2005,South,1,M,Licensed,NY,Going Straight Ahead,Center Front End,Other,Left Front Bumper,Right Front Bumper,Other,N,,Fell Asleep,Unspecified
18786883,4009989,10/26/2018,9:00,9f761344-e804-4831-9945-3e569a953181,NJ,Sedan,TOYT -CAR/SUV,,2000,Southwest,1,M,,,Starting in Traffic,Left Front Bumper,Left Front Bumper,Left Side Doors,,,N,,Passing or Lane Usage Improper,Unspecified
19611521,4310762,04/27/2020,18:00,76a6e010-5ee4-4345-b8f4-955784f97e0a,,,,,,,,,,,,,,,,,Unspecified,,,
18743191,3988013,09/26/2018,9:34,fa0c1d67-7ee5-4d64-a8df-75b98fca987b,NY,Van,CHEV-TRUCK/BUS,,2009,West,1,M,Licensed,NY,Going Straight Ahead,Right Side Doors,Right Side Doors,No Damage,No Damage,No Damage,N,,Unspecified,Unspecified
