ID,Segment ID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
119,114953,Van Duzer Street,Court Street,Targee Street,EB,09/15/2017,93,56,37,39,52,155,331,559,711,466,400,374,400,401,547,603,452,481,418,415,310,263,264,215
76,73451,HENRY HUDSON PARKWAY E,JOHNSON AVENUE,WEST 239 STREET,EB,11/05/2015,44,25,14,11,15,39,94,237,383,304,256,251,298,295,297,400,389,482,386,308,265,190,159,68
33,84009,126 Street,37 Avenue,38 Avenue,NB,10/26/2014,97,39,22,7,15,13,10,18,42,95,130,159,167,186,209,208,217,262,187,119,145,75,43,70
42,102098,Bates Road,Concord Street,Nassau County Line,WB,09/27/2014,7,7,1,4,3,3,12,36,65,90,85,94,93,77,105,110,106,129,147,156,73,47,27,32
161,27121,AVENUE N,15 STREET,EAST 16 STREET,EB,10/30/2016,222,173,142,91,93,88,108,226,325,474,574,593,705,756,764,771,824,774,736,648,522,410,395,286
62,158447,Broadway,West 242 Street,240 Street,NB,09/13/2014,255,209,149,148,128,136,199,354,473,567,634,781,785,779,732,809,707,675,641,556,546,465,425,324
302,136481,Ocean Parkway Service Road,Avenue S,Avenue T,NB,11/16/2017,16,15,10,1,4,22,44,92,155,216,174,149,143,119,141,134,151,219,191,151,163,134,55,42
167,146527,RIVERSIDE DRIVE,WEST 114 STREET,WEST 113 STREET,SB,10/13/2015,21,19,10,21,55,285,971,1053,818,274,175,185,187,203,195,187,295,168,126,91,81,70,50,25
104,31405,GRAHAM AVENUE,POWERS STREET,AINSLIE STREET,EB,10/03/2015,321,249,204,171,237,123,165,232,400,801,549,536,465,568,528,417,535,432,544,488,394,651,313,347
255,98008,NORTHERN BOULEVARD,OCEANIA STREET,CORPORAL KENNEDY STREET,EB,11/07/2015,243,163,96,88,81,149,270,618,932,1102,1165,1283,1404,1365,1240,1236,1165,1128,1220,1030,858,596,579,445
205,9002816,Fountain Avenue,Dumont Avenue,Hegeman Avenue,SB,10/30/2017,81,54,40,31,71,142,229,361,421,372,306,312,363,304,405,481,535,545,484,433,311,185,174,114
146,9009052,Catherine Street,Dead End,Catherine Slip,SB,10/08/2019,47,22,19,17,43,75,155,275,275,164,160,170,175,209,235,245,245,232,210,212,154,137,128,113
