Id,Speed,TravelTime,Status,DataAsOf,linkId
122,14.91,364,0,4/28/2015 19:00:04,4616344
416,44.74,102,0,4/23/2015 09:14:57,4763651
450,34.18,581,0,4/28/2015 07:05:04,4616346
364,27.96,145,0,4/23/2015 06:03:58,4456511
387,47.22,104,0,4/26/2015 05:18:02,4616206
204,6.84,1399,0,4/28/2015 02:35:04,4616320
379,45.98,58,0,4/30/2015 01:09:37,4763650
413,44.12,49,0,4/25/2015 22:45:02,4616219
394,41.01,175,0,4/25/2015 09:35:02,4616225
221,50.95,198,0,4/29/2015 01:35:05,4616333
325,11.18,505,0,4/26/2015 16:57:59,4329472
329,24.85,219,0,4/28/2015 00:07:57,4329508
451,55.92,120,0,4/18/2015 01:51:44,4456500
165,49.71,50,0,4/28/2015 12:15:03,4616305
215,41.01,166,0,4/22/2015 20:19:38,4616329
110,55.92,138,0,4/23/2015 10:29:38,4616281
172,186.41,19,0,4/19/2015 21:50:36,4616310
387,44.12,106,0,4/20/2015 07:50:35,4616206
185,11.81,275,0,4/20/2015 13:05:35,4616267
172,55.92,76,0,4/27/2015 03:10:03,4616310
424,49.71,99,0,4/13/2015 19:13:30,4616300
165,49.71,50,0,4/27/2015 04:05:03,4616305
122,13.05,396,0,4/27/2015 12:10:04,4616344
422,50.95,174,0,4/26/2015 05:18:02,4616298
435,55.3,111,0,4/29/2015 02:00:03,4616198
410,57.17,81,0,4/22/2015 02:04:57,4763656
223,8.08,333,0,4/18/2015 15:45:35,4616341
160,47.85,114,0,4/7/2015 09:14:03,4616266
331,57.17,137,0,4/24/2015 01:59:39,4616353
170,44.74,83,0,4/24/2015 23:10:02,4616356
206,52.2,228,0,4/21/2015 03:12:29,4362252
442,8.7,520,0,4/24/2015 14:49:39,4616335
412,44.74,48,0,4/22/2015 18:29:38,4616218
431,62.76,80,0,4/30/2015 05:20:05,4616214
316,36.04,417,0,4/24/2015 16:18:57,4456516
3,21.13,295,0,4/20/2015 01:15:36,4616324
444,8.08,340,0,4/25/2015 20:20:02,4616327
177,11.18,380,0,4/21/2015 08:53:37,4616309
259,29.2,140,0,4/25/2015 22:30:03,4616223
399,39.15,62,0,4/24/2015 01:09:57,4456452
261,47.85,73,0,4/27/2015 11:30:04,4616226
186,6.21,1223,0,4/24/2015 12:19:54,4620315
349,8.7,210,0,4/1/2015 16:50:21,4329499
155,27.96,254,0,4/29/2015 13:50:03,4616232
177,55.92,77,0,4/27/2015 04:00:03,4616309
406,50.95,134,0,4/26/2015 05:17:58,4456506
124,39.15,165,0,4/27/2015 13:44:36,4456501
257,52.2,240,0,4/20/2015 02:15:36,4616318
1,6.21,790,0,4/18/2015 20:40:35,4616337
384,62.14,113,0,4/23/2015 06:24:38,4616199
329,39.15,141,0,4/24/2015 22:36:52,4329508
433,55.3,137,0,4/22/2015 04:20:36,4616215
123,1.24,847,0,4/23/2015 20:19:38,4616345
434,62.14,52,0,4/25/2015 21:45:01,4616212
350,49.71,165,0,4/21/2015 02:14:35,4616196
439,55.3,52,0,4/23/2015 09:49:38,4616200
140,29.83,102,0,4/27/2015 06:34:56,4456479
399,41.01,59,0,4/26/2015 05:17:58,4456452
350,29.2,288,0,4/25/2015 18:10:03,4616196
325,14.91,358,0,4/21/2015 16:28:46,4329472
382,8.08,864,0,4/22/2015 13:43:37,4616216
379,14.29,177,0,4/30/2015 08:49:26,4763650
164,44.12,106,0,4/27/2015 20:34:36,4456497
123,6.21,159,0,4/27/2015 23:50:04,4616345
399,18.02,133,0,4/18/2015 17:43:43,4456452
447,14.29,209,0,4/21/2015 15:55:37,4616336
212,52.2,210,0,4/30/2015 23:45:28,4362244
443,3.11,2138,0,4/30/2015 17:10:06,4616343
331,54.06,146,0,4/26/2015 20:15:03,4616353
383,47.22,160,0,4/19/2015 12:05:35,4616217
330,32.93,151,0,4/29/2015 14:07:39,4329507
431,57.17,88,0,4/22/2015 09:19:37,4616214
208,57.17,191,0,4/23/2015 13:29:39,4616350
369,27.96,173,0,4/20/2015 02:15:35,4616282
223,8.08,332,0,4/30/2015 22:40:05,4616341
436,57.17,91,0,4/30/2015 20:30:05,4616202
263,44.74,47,0,4/25/2015 23:09:57,4763657
206,54.06,217,0,4/19/2015 04:10:28,4362252
450,31.07,630,0,4/21/2015 06:49:36,4616346
431,55.3,91,0,4/21/2015 02:40:36,4616214
446,21.13,44,0,4/21/2015 22:35:36,4616326
444,8.7,159,0,4/26/2015 17:35:03,4616327
129,55.92,72,0,4/29/2015 03:05:04,4616246
215,47.85,139,0,4/25/2015 04:10:02,4616329
265,59.03,126,0,4/26/2015 05:16:53,4620298
178,55.3,150,0,4/23/2015 05:24:38,4616297
141,45.98,163,0,4/28/2015 01:48:37,4456478
313,21.13,712,0,4/19/2015 17:25:35,4616365
295,60.27,74,0,4/20/2015 13:00:35,4616250
451,47.22,142,0,4/22/2015 20:39:58,4456500
208,49.71,217,0,4/27/2015 16:15:03,4616350
338,42.87,115,0,4/20/2015 21:03:36,4616255
262,50.95,248,0,4/30/2015 03:15:05,4616319
319,60.27,160,0,4/23/2015 04:03:30,4362251
448,34.18,569,0,4/27/2015 18:03:58,4620343
375,47.22,139,0,4/22/2015 21:19:37,4616193
436,62.14,83,0,4/28/2015 21:25:05,4616202
154,49.71,82,0,4/24/2015 01:14:38,4616229
212,52.2,208,0,4/24/2015 17:55:28,4362244
439,57.17,50,0,4/22/2015 22:34:37,4616200
169,18.02,524,0,4/21/2015 07:50:36,4616355
379,57.79,46,0,4/20/2015 00:34:43,4763650
388,49.09,58,0,4/28/2015 16:50:04,4616211
224,13.05,161,0,4/20/2015 00:25:35,4616334
154,42.25,97,0,4/27/2015 07:00:03,4616229
332,52.2,175,0,4/29/2015 13:55:04,4616354
129,44.12,91,0,4/25/2015 19:45:02,4616246
453,4.97,1109,0,4/25/2015 11:59:02,4616239
365,31.69,127,0,4/20/2015 19:08:43,4456510
425,47.22,228,0,4/28/2015 20:50:03,4616276
385,42.87,33,0,4/23/2015 08:04:38,4616208
437,55.3,113,0,4/24/2015 14:14:39,4616203
217,47.85,212,0,4/27/2015 11:10:03,4616328
448,6.84,2542,0,4/24/2015 19:52:55,4620343
169,47.85,183,0,4/20/2015 21:03:36,4616355
431,54.06,93,0,4/21/2015 20:00:36,4616214
444,36.04,112,0,4/21/2015 19:10:36,4616327
402,39.77,169,0,4/25/2015 02:04:56,4456505
295,65.87,68,0,4/20/2015 00:00:35,4616250
347,8.7,728,0,4/27/2015 10:25:57,4456477
395,42.25,191,0,4/25/2015 16:49:58,4456476
217,45.98,222,0,4/20/2015 16:25:36,4616328
419,26.72,141,0,4/18/2015 11:30:34,4616204
190,39.15,109,0,4/21/2015 07:23:45,4620332
318,8.7,412,0,4/19/2015 15:04:29,4362249
375,32.93,199,0,4/25/2015 16:00:02,4616193
375,36.04,184,0,4/21/2015 15:45:36,4616193
140,31.69,95,0,4/25/2015 21:19:59,4456479
316,49.71,303,0,4/30/2015 21:34:24,4456516
222,52.82,130,0,4/24/2015 05:29:39,4616332
155,19.88,350,0,4/24/2015 07:54:38,4616232
190,55.92,77,0,4/29/2015 01:59:36,4620332
350,52.2,160,0,4/20/2015 04:55:35,4616196
259,39.77,100,0,4/19/2015 00:10:35,4616223
380,49.71,51,0,4/30/2015 23:54:23,4763648
137,31.07,140,0,4/23/2015 06:14:38,4616260
442,8.7,776,0,4/22/2015 11:09:38,4616335
168,13.05,335,0,4/28/2015 16:01:36,4456496
122,16.78,334,0,4/29/2015 04:30:05,4616344
379,50.95,57,0,4/23/2015 00:39:58,4763650
1,21.13,252,0,4/21/2015 05:13:37,4616337
169,57.17,162,0,4/21/2015 22:40:36,4616355
369,32.93,143,0,4/24/2015 05:34:38,4616282
262,29.83,421,0,4/28/2015 16:15:04,4616319
