"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"261","42.25","101","0","4/23/2019 22:12:14","4616226"
"213","37.28","63","0","4/23/2019 12:33:04","4456450"
"405","52.81","51","0","4/27/2019 23:38:06","4362314"
"380","32.31","71","0","4/8/2019 17:03:03","4763648"
"411","51.57","90","0","4/11/2019 03:43:04","4763652"
"406","21.12","323","0","4/29/2019 14:03:03","4456506"
"149","8.69","786","0","4/17/2019 11:03:16","4616339"
"257","12.42","979","0","4/14/2019 16:19:15","4616318"
"298","38.52","65","0","4/26/2019 06:23:03","4456498"
"398","19.88","373","0","4/26/2019 16:33:05","4456481"
"350","0.00","0","-","4/16/2019 13:43:14","4616196"
"141","39.14","184","0","4/20/2019 04:53:05","4456478"
"383","0.00","0","-","4/1/2019 11:28:12","4616217"
"150","0.00","0","-","4/21/2019 02:34:11","4616340"
"448","36.03","546","0","4/2/2019 11:52:03","4620343"
"124","34.79","186","0","4/25/2019 15:33:03","4456501"
"110","57.16","135","0","4/4/2019 05:18:04","4616281"
"315","27.34","183","0","4/11/2019 09:28:13","4616364"
"354","47.22","172","0","4/10/2019 18:48:04","4616228"
"186","0.00","0","-","4/27/2019 04:53:03","4620315"
"212","54.05","201","0","4/21/2019 02:34:06","4362244"
"110","50.33","152","0","4/3/2019 17:03:03","4616281"
"159","43.49","126","0","4/18/2019 14:44:04","4616252"
"222","33.55","202","0","4/25/2019 08:53:04","4616332"
"191","0.00","0","-","4/14/2019 18:53:09","4620331"
"331","50.33","155","0","4/29/2019 21:35:05","4616353"
"390","39.14","101","0","4/25/2019 16:13:15","4616209"
"439","49.08","58","0","4/5/2019 22:04:05","4616200"
"347","8.69","803","0","4/11/2019 12:58:04","4456477"
"416","49.08","94","0","4/18/2019 05:23:05","4763651"
"126","52.81","141","0","4/27/2019 11:32:04","4616247"
"413","44.11","48","0","4/26/2019 10:44:04","4616219"
"398","41.63","179","0","4/10/2019 05:43:05","4456481"
"199","52.81","208","0","4/26/2019 23:28:04","4616351"
"436","0.00","0","-","4/25/2019 05:13:14","4616202"
"167","44.11","145","0","4/12/2019 22:38:04","4616312"
"395","25.47","320","0","4/6/2019 21:51:06","4456476"
"384","62.13","112","0","4/24/2019 09:08:04","4616199"
"207","52.19","145","0","4/10/2019 12:03:04","4616352"
"394","49.70","146","0","4/17/2019 23:13:05","4616225"
"344","17.39","250","0","4/5/2019 22:43:08","4620330"
"217","37.90","267","0","4/11/2019 11:49:04","4616328"
"369","0.00","0","-","4/25/2019 02:08:12","4616282"
"387","47.22","125","0","4/19/2019 11:08:04","4616206"
"440","0.00","0","-","4/16/2019 12:03:09","4329483"
"350","0.00","0","-","4/10/2019 17:39:13","4616196"
"385","11.80","117","0","4/21/2019 12:44:03","4616208"
