"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"213","30.44","78","0","8/31/2018 02:43:16","4456450"
"145","29.82","87","0","8/7/2018 14:53:10","4616342"
"377","52.81","74","0","8/20/2018 14:03:12","4616195"
"258","47.22","90","0","8/1/2018 17:08:04","4616220"
"295","57.78","77","0","8/13/2018 23:28:28","4616250"
"324","0.00","0","-","8/15/2018 23:53:27","4329473"
"380","42.87","54","0","8/18/2018 10:03:26","4763648"
"382","0.00","0","-","8/20/2018 00:13:10","4616216"
"149","36.66","194","0","8/19/2018 01:33:13","4616339"
"215","0.00","0","-","8/22/2018 03:18:14","4616329"
"330","39.76","126","0","8/4/2018 03:38:05","4329507"
"4","37.90","85","-","8/21/2018 02:43:21","4616338"
"2","16.15","202","0","8/16/2018 08:28:28","4616325"
"129","57.16","81","0","8/20/2018 23:33:27","4616246"
"204","49.08","236","0","8/21/2018 06:58:29","4616320"
"330","21.74","226","0","8/10/2018 10:58:04","4329507"
"258","49.70","85","0","8/17/2018 21:28:21","4616220"
"145","22.99","114","0","8/18/2018 04:23:30","4616342"
"424","43.49","123","0","8/9/2018 08:53:27","4616300"
"217","0.00","0","-","8/25/2018 17:43:16","4616328"
"211","57.16","287","0","8/6/2018 14:13:02","4362250"
"262","49.70","252","0","8/26/2018 01:58:13","4616319"
"410","49.08","94","0","8/21/2018 03:58:16","4763656"
"419","42.25","50","0","8/11/2018 18:43:06","4616204"
"351","0.00","0","-","8/26/2018 08:58:25","4616210"
"169","55.92","164","0","8/19/2018 08:43:14","4616355"
"222","0.00","0","-","8/25/2018 04:53:19","4616332"
"331","29.82","259","0","8/19/2018 16:33:11","4616353"
"329","14.29","376","0","8/10/2018 18:28:07","4329508"
"433","55.30","136","0","8/21/2018 04:28:17","4616215"
"430","60.89","129","0","8/11/2018 07:18:04","4616213"
"159","0.00","0","-","8/17/2018 04:18:24","4616252"
"377","57.16","68","0","8/31/2018 02:08:17","4616195"
"298","9.32","270","0","8/10/2018 16:08:03","4456498"
"186","1.24","6223","-","8/4/2018 03:38:05","4620315"
"265","55.30","133","0","8/16/2018 01:23:05","4620298"
"119","0.00","0","-","8/7/2018 04:23:16","4456502"
"140","36.03","84","0","8/1/2018 17:48:04","4456479"
"376","55.92","99","0","8/11/2018 00:08:04","4616192"
"212","39.76","273","0","8/7/2018 14:23:07","4362244"
"377","59.03","66","0","8/21/2018 02:08:15","4616195"
"172","26.71","158","0","8/2/2018 09:28:12","4616310"
"445","0.00","0","-","8/20/2018 23:18:19","4456494"
"199","50.33","218","0","8/2/2018 18:28:12","4616351"
"190","8.69","481","0","8/14/2018 09:33:15","4620332"
"441","0.00","0","-","8/13/2018 05:43:27","4616201"
"412","53.43","40","0","8/2/2018 05:08:15","4616218"
"169","0.00","0","-","8/26/2018 14:23:03","4616355"
"394","20.50","353","0","8/4/2018 03:38:13","4616225"
