"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"395","29.83","270","0","12/30/2016 15:01:28","4456476"
"422","31.69","274","0","12/8/2016 21:30:28","4616298"
"417","47.85","97","0","12/20/2016 08:06:01","4763649"
"148","3.11","4619","0","12/5/2016 05:31:25","4616257"
"390","26.1","148","0","12/9/2016 14:50:29","4616209"
"154","39.15","105","0","12/14/2016 22:07:06","4616229"
"318","47.85","81","0","12/11/2016 00:01:48","4362249"
"387","52.82","107","0","12/14/2016 02:44:33","4616206"
"416","49.71","89","0","12/12/2016 15:02:12","4763651"
"261","47.22","91","0","12/12/2016 11:41:31","4616226"
"425","49.71","215","0","12/11/2016 22:11:31","4616276"
"261","49.71","86","0","12/1/2016 22:08:17","4616226"
"155","34.18","209","0","12/8/2016 05:45:27","4616232"
"445","14.91","344","0","12/15/2016 13:30:09","4456494"
"364","24.85","163","0","12/14/2016 19:11:12","4456511"
"167","21.13","319","0","12/29/2016 15:02:05","4616312"
"365","8.7","431","0","12/19/2016 08:51:00","4456510"
"262","44.74","279","0","12/8/2016 12:30:28","4616319"
"124","44.74","144","0","12/20/2016 02:36:00","4456501"
"390","49.71","61","0","12/13/2016 08:30:32","4616209"
"212","34.8","208","0","12/10/2016 17:31:48","4362244"
"222","47.22","145","0","12/4/2016 01:16:24","4616332"
"427","14.29","804","0","12/20/2016 08:31:10","4616259"
"207","52.2","145","0","12/21/2016 08:46:12","4616352"
"159","49.71","111","0","12/19/2016 20:31:10","4616252"
"137","52.2","13","0","12/21/2016 01:17:12","4616260"
"150","24.85","375","0","12/21/2016 01:11:12","4616340"
"222","18.02","327","0","12/1/2016 18:51:17","4616332"
"157","41.01","377","0","12/20/2016 01:26:10","4616271"
"318","39.77","99","0","12/1/2016 05:41:33","4362249"
"451","55.3","123","0","12/3/2016 00:53:31","4456500"
"379","44.74","51","0","12/1/2016 17:28:31","4763650"
"264","49.71","111","0","12/13/2016 10:21:13","4763655"
"164","41.01","112","0","12/6/2016 20:46:22","4456497"
"331","45.98","169","0","12/9/2016 13:55:29","4616353"
"417","44.12","97","0","12/13/2016 06:02:12","4763649"
"387","52.82","110","0","12/7/2016 22:05:27","4616206"
"141","37.28","193","0","12/17/2016 13:16:11","4456478"
"318","47.85","82","0","12/30/2016 07:32:08","4362249"
"295","55.92","69","0","12/7/2016 02:00:26","4616250"
"149","26.72","264","0","12/4/2016 21:56:25","4616339"
"261","52.2","83","0","12/29/2016 19:32:04","4616226"
"365","6.84","567","0","12/2/2016 23:56:31","4456510"
"153","16.78","413","0","12/15/2016 19:17:07","4616235"
"213","34.8","67","0","12/12/2016 20:42:12","4456450"
"217","8.7","1067","0","12/8/2016 17:10:28","4616328"
"351","11.18","379","0","12/30/2016 23:11:05","4616210"
"440","52.82","156","0","12/29/2016 18:47:49","4329483"
"222","47.22","146","0","12/6/2016 12:50:26","4616332"
"142","50.95","146","0","12/1/2016 15:01:18","4616261"
"106","14.29","160","0","12/13/2016 12:16:33","4616323"
"402","31.07","223","0","12/22/2016 07:08:02","4456505"
"153","21.13","339","0","12/20/2016 12:36:11","4616235"
"451","47.85","141","0","12/10/2016 21:14:22","4456500"
"387","55.3","105","0","12/20/2016 22:31:11","4616206"
"155","14.29","485","0","12/14/2016 15:07:34","4616232"
"154","42.25","97","0","12/1/2016 11:36:16","4616229"
"425","19.88","543","0","12/21/2016 05:31:11","4616276"
"142","57.17","131","0","12/4/2016 06:11:23","4616261"
"425","52.82","205","0","12/1/2016 05:21:17","4616276"
"159","55.3","100","0","12/8/2016 05:55:27","4616252"
"412","47.85","47","0","12/17/2016 23:46:08","4616218"
"259","37.28","109","0","12/20/2016 20:26:11","4616223"
"208","47.85","228","0","12/1/2016 20:26:18","4616350"
"390","52.82","60","0","12/14/2016 02:44:33","4616209"
"380","45.98","50","0","12/1/2016 17:28:31","4763648"
"2","19.88","161","0","12/19/2016 05:51:09","4616325"
"4","14.91","210","0","12/8/2016 07:00:28","4616338"
