"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"191","0.00","0","-","2/11/2019 16:08:08","4620331"
"110","50.33","152","0","2/27/2019 23:32:04","4616281"
"199","14.91","728","0","2/4/2019 12:45:12","4616351"
"259","26.09","153","0","2/24/2019 00:27:09","4616223"
"154","47.22","86","0","2/27/2019 06:36:12","4616229"
"349","0.00","0","-","2/26/2019 01:52:07","4329499"
"215","51.57","133","0","2/14/2019 04:03:04","4616329"
"382","0.00","0","-","2/28/2019 00:08:11","4616216"
"168","45.36","101","0","2/15/2019 10:18:03","4456496"
"365","27.34","196","0","2/12/2019 16:13:02","4456510"
"399","32.31","74","0","2/7/2019 20:48:03","4456452"
"436","66.48","77","0","2/7/2019 07:08:03","4616202"
"351","0.00","0","-","2/3/2019 14:48:11","4616210"
"171","13.67","864","0","2/12/2019 07:28:04","4616357"
"365","12.42","419","0","2/15/2019 16:58:03","4456510"
"398","0.00","0","-","2/26/2019 16:07:04","4456481"
"221","24.23","421","0","2/22/2019 11:02:11","4616333"
"295","63.37","70","0","2/4/2019 22:36:04","4616250"
"153","16.15","436","0","2/14/2019 15:23:11","4616235"
"262","27.34","455","0","2/1/2019 15:58:13","4616319"
"417","54.05","86","0","2/4/2019 05:33:03","4763649"
"199","54.05","203","0","2/18/2019 17:13:02","4616351"
"137","47.22","94","0","2/19/2019 22:26:13","4616260"
"186","0.00","0","-","2/8/2019 03:28:03","4620315"
"257","23.61","534","0","2/17/2019 19:08:09","4616318"
"439","55.92","51","0","2/18/2019 22:42:03","4616200"
"145","26.71","97","0","2/2/2019 22:38:04","4616342"
"145","21.12","122","0","2/20/2019 21:44:04","4616342"
"332","36.03","253","0","2/4/2019 17:47:04","4616354"
"169","30.44","304","0","2/20/2019 01:28:08","4616355"
"354","60.89","133","0","2/15/2019 13:53:04","4616228"
"344","6.21","668","0","2/4/2019 23:48:03","4620330"
"177","50.33","85","0","2/18/2019 21:23:11","4616309"
"402","52.19","131","0","2/20/2019 09:14:03","4456505"
"330","37.90","132","0","2/1/2019 21:28:04","4329507"
"172","52.19","81","0","2/17/2019 00:53:10","4616310"
"331","31.68","245","0","2/2/2019 23:13:12","4616353"
"380","39.14","59","0","2/12/2019 16:18:03","4763648"
"106","4.97","453","0","2/9/2019 00:58:11","4616323"
"385","46.60","30","0","2/9/2019 19:43:05","4616208"
"430","57.78","135","0","2/24/2019 21:46:04","4616213"
"217","23.61","434","0","2/14/2019 07:08:03","4616328"
"441","58.40","135","0","2/12/2019 21:03:04","4616201"
"1","0.00","0","-","2/10/2019 00:38:12","4616337"
"215","22.99","298","0","2/8/2019 18:33:12","4616329"
"190","0.00","0","-","2/6/2019 15:23:08","4620332"
"441","58.40","135","0","2/27/2019 15:52:04","4616201"
"332","55.92","165","0","2/7/2019 01:48:05","4616354"
"190","0.00","0","-","2/18/2019 09:23:07","4620332"
"435","58.40","104","0","2/7/2019 22:42:04","4616198"
"390","63.37","61","0","2/15/2019 06:13:04","4616209"
"169","49.08","187","0","2/22/2019 06:11:12","4616355"
"155","36.66","194","0","2/19/2019 06:01:14","4616232"
"433","52.81","142","0","2/19/2019 02:52:03","4616215"
"427","28.58","314","0","2/22/2019 13:16:04","4616259"
"384","59.65","117","0","2/19/2019 13:51:03","4616199"
"445","20.50","272","0","2/18/2019 12:21:03","4456494"
"223","16.77","158","0","2/15/2019 15:33:04","4616341"
"265","14.29","504","0","2/24/2019 18:31:03","4620298"
"1","0.00","0","-","2/13/2019 07:43:11","4616337"
"377","44.11","88","0","2/12/2019 14:39:03","4616195"
"424","45.98","116","0","2/14/2019 15:03:12","4616300"
"124","27.96","230","0","2/14/2019 10:03:03","4456501"
"375","49.70","133","0","2/14/2019 18:28:04","4616193"
"207","55.30","137","0","2/26/2019 00:26:04","4616352"
"206","31.68","371","0","2/15/2019 15:58:07","4362252"
"381","50.95","31","0","2/25/2019 20:23:05","4616194"
"453","49.08","112","0","2/4/2019 20:09:13","4616239"
"160","0.00","0","-","2/22/2019 17:01:16","4616266"
"434","52.81","61","0","2/8/2019 10:03:04","4616212"
"382","0.00","0","-","2/11/2019 04:33:11","4616216"
"380","49.08","47","0","2/3/2019 08:43:03","4763648"
"369","0.00","0","-","2/26/2019 05:51:12","4616282"
"347","27.34","261","0","2/13/2019 15:58:04","4456477"
"2","1.86","1591","0","2/2/2019 23:18:12","4616325"
"155","14.91","478","0","2/13/2019 12:38:12","4616232"
"445","4.97","1113","0","2/11/2019 21:03:05","4456494"
"436","55.30","93","0","2/12/2019 13:59:04","4616202"
"142","55.30","134","0","2/3/2019 14:43:12","4616261"
"155","14.29","494","0","2/17/2019 22:03:10","4616232"
"223","0.00","0","-","2/8/2019 05:53:04","4616341"
"164","49.70","93","0","2/3/2019 16:08:03","4456497"
"365","29.82","178","0","2/18/2019 11:23:01","4456510"
"141","0.00","0","-","2/7/2019 19:18:04","4456478"
"354","9.94","800","0","2/26/2019 18:47:04","4616228"
"258","38.52","110","0","2/10/2019 08:03:11","4616220"
"221","47.22","217","0","2/26/2019 07:42:04","4616333"
"154","52.81","77","0","2/23/2019 07:47:13","4616229"
"387","53.43","110","0","2/4/2019 22:36:04","4616206"
"319","27.96","339","0","2/26/2019 17:22:07","4362251"
"264","40.38","53","0","2/12/2019 19:23:03","4763655"
"212","29.82","364","0","2/8/2019 08:03:07","4362244"
"369","0.00","0","-","2/21/2019 07:51:12","4616282"
"405","41.63","65","0","2/21/2019 14:07:06","4362314"
"319","32.31","296","0","2/5/2019 14:25:06","4362251"
"199","55.92","196","0","2/25/2019 05:42:04","4616351"
"3","18.01","353","0","2/24/2019 02:12:10","4616324"
"437","54.68","114","0","2/1/2019 22:42:05","4616203"
"199","24.23","454","0","2/9/2019 07:38:11","4616351"
"205","51.57","313","-","2/16/2019 14:27:06","4362247"
"257","51.57","244","0","2/9/2019 03:33:12","4616318"
"191","9.32","463","0","2/19/2019 09:30:02","4620331"
"388","59.03","48","0","2/19/2019 02:18:03","4616211"
"385","49.70","28","0","2/28/2019 00:11:04","4616208"
"265","58.40","127","0","2/26/2019 02:57:03","4620298"
"207","44.73","170","0","2/6/2019 21:08:11","4616352"
"184","29.20","87","0","2/19/2019 18:12:03","4616253"
"369","0.00","0","-","2/10/2019 02:33:10","4616282"
"378","29.82","89","0","2/11/2019 18:03:04","4616197"
"425","34.17","314","0","2/12/2019 14:53:11","4616276"
"159","39.76","138","0","2/21/2019 06:01:20","4616252"
"382","0.00","0","-","2/19/2019 09:47:12","4616216"
"330","38.52","129","0","2/18/2019 02:53:02","4329507"
"390","65.24","60","0","2/14/2019 04:23:04","4616209"
"119","35.41","183","0","2/27/2019 06:47:03","4456502"
"430","60.27","130","0","2/5/2019 23:32:05","4616213"
"436","63.37","81","0","2/1/2019 21:57:04","4616202"
"436","69.59","74","0","2/12/2019 05:38:04","4616202"
"430","60.27","130","0","2/24/2019 08:13:04","4616213"
"140","36.66","82","0","2/12/2019 21:13:05","4456479"
"402","50.95","135","0","2/8/2019 00:28:03","4456505"
"450","41.01","484","0","2/25/2019 10:41:04","4616346"
"383","0.00","0","-","2/6/2019 23:13:11","4616217"
"376","52.81","105","0","2/14/2019 11:53:04","4616192"
"213","34.17","69","0","2/16/2019 20:58:02","4456450"
"354","61.51","133","0","2/7/2019 11:22:03","4616228"
"223","9.32","275","0","2/23/2019 01:47:04","4616341"
"169","40.38","228","0","2/28/2019 20:31:04","4616355"
"387","44.73","130","0","2/12/2019 17:04:03","4616206"
"177","14.29","299","0","2/20/2019 15:12:03","4616309"
"345","31.68","138","0","2/13/2019 04:33:04","4620314"
"191","0.00","0","-","2/25/2019 20:40:08","4620331"
"402","53.43","128","0","2/23/2019 02:59:03","4456505"
"208","32.93","332","0","2/20/2019 14:21:12","4616350"
"439","52.19","54","0","2/10/2019 15:39:03","4616200"
"395","36.03","224","0","2/23/2019 05:01:12","4456476"
"164","52.19","89","0","2/16/2019 00:53:03","4456497"
"205","59.65","271","0","2/4/2019 05:28:06","4362247"
"430","57.16","137","0","2/5/2019 15:43:04","4616213"
"379","40.38","57","0","2/24/2019 03:36:03","4763650"
"264","45.36","47","0","2/19/2019 11:37:02","4763655"
"110","54.05","142","0","2/22/2019 06:00:04","4616281"
"398","0.00","0","-","2/23/2019 02:59:05","4456481"
