"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"411","38.52","120","0","1/29/2018 08:18:03","4763652"
"377","6.83","575","0","1/10/2018 10:57:03","4616195"
"126","42.87","173","0","1/4/2018 20:56:09","4616247"
"387","9.94","592","0","1/16/2018 17:22:10","4616206"
"351","0.00","0","-","1/24/2018 00:48:09","4616210"
"427","37.28","237","0","1/10/2018 06:12:03","4616259"
"423","21.74","241","0","1/18/2018 08:27:11","4616299"
"263","44.73","47","0","1/28/2018 04:57:03","4763657"
"142","41.01","182","0","1/12/2018 19:18:11","4616261"
"405","55.30","48","0","1/17/2018 21:43:05","4362314"
"379","42.87","54","0","1/31/2018 20:38:03","4763650"
"145","16.77","152","0","1/19/2018 19:48:03","4616342"
"258","48.46","88","0","1/29/2018 16:43:03","4616220"
"383","0.00","0","-","1/17/2018 20:28:10","4616217"
"1","12.42","428","0","1/26/2018 09:27:04","4616337"
"153","0.00","0","-","1/7/2018 06:02:10","4616235"
"324","0.00","0","-","1/24/2018 20:58:03","4329473"
"165","48.46","52","0","1/7/2018 02:22:09","4616305"
"223","32.93","80","0","1/25/2018 01:28:04","4616341"
"205","0.00","0","-","1/17/2018 03:23:05","4362247"
"330","14.29","352","0","1/1/2018 02:12:09","4329507"
"140","32.31","94","0","1/8/2018 03:37:04","4456479"
"257","8.69","1388","-","1/5/2018 17:07:03","4616318"
"160","0.00","0","-","1/9/2018 08:47:03","4616266"
"202","54.68","40","0","1/31/2018 00:03:03","4456483"
"350","0.00","0","-","1/11/2018 19:03:11","4616196"
"426","38.52","177","0","1/14/2018 14:12:03","4616272"
"423","52.19","103","0","1/8/2018 13:26:11","4616299"
"257","0.00","0","-","1/1/2018 14:57:17","4616318"
"412","49.08","43","0","1/28/2018 21:18:04","4616218"
"159","32.93","167","0","1/23/2018 09:13:11","4616252"
"448","52.19","379","0","1/24/2018 06:27:03","4620343"
"351","0.00","0","-","1/16/2018 15:12:10","4616210"
"318","55.92","70","0","1/20/2018 05:07:03","4362249"
"453","50.33","110","0","1/23/2018 06:08:10","4616239"
"208","16.15","659","0","1/24/2018 16:37:03","4616350"
"149","15.53","465","0","1/31/2018 16:48:10","4616339"
"223","25.47","103","0","1/30/2018 10:13:03","4616341"
"204","0.00","0","-","1/26/2018 13:05:03","4616320"
"426","44.11","156","0","1/9/2018 10:17:03","4616272"
"428","53.43","100","0","1/22/2018 23:33:09","4616241"
"153","0.00","0","-","1/4/2018 12:56:09","4616235"
"398","44.73","166","0","1/25/2018 10:23:02","4456481"
"324","19.26","288","0","1/8/2018 06:35:07","4329473"
"422","40.38","222","0","1/18/2018 09:32:03","4616298"
"437","54.05","115","0","1/24/2018 07:42:03","4616203"
"265","45.36","163","0","1/12/2018 11:17:03","4620298"
"351","0.00","0","-","1/16/2018 18:03:11","4616210"
"425","53.43","203","0","1/19/2018 03:03:04","4616276"
"390","56.54","69","0","1/5/2018 05:42:04","4616209"
"319","41.01","232","0","1/2/2018 11:01:51","4362251"
"385","0.00","0","-","1/16/2018 20:28:11","4616208"
"263","43.49","49","0","1/20/2018 11:38:03","4763657"
"215","11.18","597","0","1/28/2018 16:43:03","4616329"
"199","54.05","203","0","1/8/2018 12:31:03","4616351"
"428","48.46","111","0","1/6/2018 06:36:11","4616241"
"168","18.01","258","0","1/11/2018 12:32:04","4456496"
"426","42.25","164","0","1/25/2018 06:58:03","4616272"
"202","42.25","52","0","1/29/2018 07:58:03","4456483"
"119","18.01","362","0","1/29/2018 14:23:02","4456502"
"195","34.17","242","0","1/26/2018 22:57:03","4620310"
"345","0.00","0","-","1/21/2018 08:38:07","4620314"
"298","44.73","56","0","1/22/2018 15:03:04","4456498"
"440","0.00","0","-","1/15/2018 19:03:07","4329483"
"172","47.22","90","0","1/30/2018 04:53:04","4616310"
"332","50.95","180","0","1/16/2018 16:52:03","4616354"
"448","41.63","474","0","1/8/2018 00:07:03","4620343"
"126","55.92","133","0","1/8/2018 04:27:10","4616247"
"124","41.01","158","0","1/1/2018 09:27:14","4456501"
"170","42.87","88","0","1/26/2018 19:02:04","4616356"
"406","47.22","146","0","1/8/2018 20:47:04","4456506"
"315","52.19","95","0","1/13/2018 14:08:03","4616364"
"439","0.00","0","-","1/2/2018 17:27:30","4616200"
