"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"169","32.93","305","0","7/23/2015 19:25:33","4616355"
"426","36.04","191","0","7/24/2015 20:05:35","4616272"
"164","39.15","119","0","7/23/2015 12:55:24","4456497"
"330","19.26","265","0","7/9/2015 16:09:15","4329507"
"437","60.89","102","0","7/20/2015 06:21:02","4616203"
"295","65.87","68","0","7/10/2015 04:34:51","4616250"
"422","24.85","348","0","7/18/2015 17:40:02","4616298"
"445","16.78","524","0","7/9/2015 23:58:02","4456494"
"428","55.3","97","0","7/23/2015 23:40:34","4616241"
"428","52.82","101","0","7/2/2015 21:55:03","4616241"
"224","3.11","253","0","7/13/2015 18:48:54","4616334"
"399","37.28","65","0","7/23/2015 23:35:24","4456452"
"148","14.91","799","0","7/15/2015 15:31:09","4616257"
"332","57.17","162","0","7/12/2015 01:00:52","4616354"
"160","39.77","137","0","7/22/2015 18:40:32","4616266"
"442","6.84","1085","0","7/11/2015 00:20:52","4616335"
"213","31.07","76","0","7/10/2015 14:56:02","4456450"
"344","6.84","575","0","7/11/2015 12:55:21","4620330"
"263","44.74","54","0","7/29/2015 10:17:26","4763657"
"439","57.17","52","0","7/17/2015 09:31:52","4616200"
"402","19.88","344","0","7/12/2015 22:15:03","4456505"
"177","52.82","81","0","7/16/2015 23:40:11","4616309"
"178","57.17","146","0","7/23/2015 16:30:32","4616297"
"402","50.95","134","0","7/31/2015 03:43:44","4456505"
"169","55.3","170","0","7/29/2015 10:19:26","4616355"
"447","1.86","1874","0","7/31/2015 01:30:05","4616336"
"402","39.15","176","0","7/11/2015 02:11:02","4456505"
"451","44.74","152","0","7/9/2015 22:42:02","4456500"
"223","4.97","507","0","7/31/2015 08:48:06","4616341"
"365","19.88","201","0","7/23/2015 19:20:25","4456510"
"377","57.17","69","0","7/20/2015 01:51:02","4616195"
"157","16.78","880","0","7/13/2015 14:19:53","4616271"
"451","21.75","287","0","7/29/2015 10:17:26","4456500"
"450","49.71","391","0","7/12/2015 09:09:53","4616346"
"2","24.23","138","0","7/14/2015 21:29:14","4616325"
"351","49.09","110","0","7/13/2015 04:39:53","4616210"
"349","3.11","1347","0","6/23/2015 10:03:22","4329499"
"430","67.11","118","0","7/26/2015 08:15:35","4616213"
"295","62.76","71","0","7/14/2015 04:59:54","4616250"
"387","50.95","97","0","7/5/2015 04:21:04","4616206"
"379","47.85","51","0","7/6/2015 17:04:35","4763650"
"325","37.28","150","0","7/23/2015 21:01:07","4329472"
"185","4.97","442","0","7/16/2015 12:01:10","4616267"
"170","14.29","259","0","7/4/2015 22:45:04","4616356"
"169","60.27","152","0","7/3/2015 05:50:04","4616355"
"142","57.79","129","0","7/16/2015 05:01:09","4616261"
"450","47.85","414","0","7/23/2015 14:00:34","4616346"
"324","37.9","145","0","7/10/2015 23:53:18","4329473"
"385","50.95","28","0","7/22/2015 06:46:04","4616208"
"178","57.79","142","0","7/19/2015 02:51:02","4616297"
"259","47.85","85","0","7/6/2015 00:41:05","4616223"
"344","8.08","556","0","7/31/2015 20:40:55","4620330"
"169","52.2","178","0","7/16/2015 23:40:12","4616355"
"153","42.25","170","0","7/18/2015 23:00:03","4616235"
"330","26.1","188","0","7/13/2015 11:32:25","4329507"
"398","39.15","193","0","7/2/2015 15:05:15","4456481"
"2","31.07","106","0","7/3/2015 07:55:03","4616325"
"377","59.03","67","0","7/23/2015 03:00:33","4616195"
"153","37.9","187","0","7/18/2015 20:55:03","4616235"
"221","52.2","197","0","7/26/2015 09:00:35","4616333"
"411","42.25","100","0","7/4/2015 11:14:26","4763652"
"350","52.2","161","0","7/28/2015 05:05:35","4616196"
"4","16.16","196","0","7/7/2015 04:24:51","4616338"
