"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"106","26.1","435","0","6/1/2017 16:41:58","4616323"
"419","39.15","97","0","6/23/2017 22:14:46","4616204"
"319","26.72","532","0","6/1/2017 18:30:20","4362251"
"424","31.07","175","0","6/9/2017 01:17:06","4616300"
"160","60.27","92","0","6/3/2017 05:59:00","4616266"
"364","6.21","136","0","6/3/2017 05:58:20","4456511"
"141","47.85","88","0","6/21/2017 02:42:34","4456478"
"325","18.02","294","0","6/15/2017 20:14:03","4329472"
"169","21.75","420","0","6/19/2017 13:57:48","4616355"
"416","54.06","86","0","6/9/2017 01:17:37","4763651"
"261","39.77","107","0","6/21/2017 02:41:48","4616226"
"141","42.87","165","0","6/3/2017 05:58:20","4456478"
"207","49.71","150","0","6/15/2017 20:15:44","4616352"
"388","1.86","977","0","6/8/2017 22:23:05","4616211"
"416","49.71","92","0","6/23/2017 22:14:56","4763651"
"150","11.81","793","0","6/1/2017 15:31:59","4616340"
"433","62.14","126","0","6/3/2017 05:59:00","4616215"
"345","4.97","778","0","6/16/2017 11:39:04","4620314"
"202","57.79","45","0","6/9/2017 01:17:37","4456483"
"1","21.13","256","0","6/3/2017 05:59:00","4616337"
"398","22.99","316","0","6/8/2017 15:25:30","4456481"
"416","54.06","86","0","6/9/2017 01:17:37","4763651"
"150","6.21","1432","0","6/9/2017 01:17:06","4616340"
"126","14.91","480","0","6/2/2017 15:21:58","4616247"
"298","16.78","157","0","6/23/2017 15:52:55","4456498"
"221","57.79","176","0","6/3/2017 05:59:00","4616333"
"212","31.07","151","0","6/13/2017 08:21:44","4362244"
"411","50.95","91","0","6/9/2017 01:17:37","4763652"
"453","13.05","275","0","6/29/2017 14:16:51","4616239"
"329","11.81","463","0","6/15/2017 20:14:03","4329508"
"202","64","58","0","6/3/2017 05:58:20","4456483"
"145","29.83","87","0","6/7/2017 10:45:04","4616342"
"402","39.77","170","0","6/21/2017 02:42:34","4456505"
"1","14.91","354","0","6/23/2017 22:14:47","4616337"
"257","8.7","1296","0","6/3/2017 05:59:00","4616318"
"199","62.14","178","0","6/3/2017 05:22:01","4616351"
"129","65.24","72","0","6/3/2017 05:59:00","4616246"
"331","60.89","128","0","6/3/2017 05:59:00","4616353"
"395","34.8","230","0","6/21/2017 02:42:34","4456476"
"330","44.12","114","0","6/3/2017 05:58:39","4329507"
"405","39.15","40","0","6/6/2017 10:54:00","4362314"
"110","19.26","432","0","6/9/2017 01:17:06","4616281"
"344","44.74","99","0","6/21/2017 02:42:11","4620330"
"185","55.92","45","0","6/9/2017 01:17:06","4616267"
"388","1.86","929","0","6/7/2017 22:44:05","4616211"
"430","8.08","827","0","6/8/2017 00:10:04","4616213"
"169","50.95","180","0","6/6/2017 10:37:02","4616355"
"440","8.7","894","0","6/9/2017 01:18:01","4329483"
"129","65.24","72","0","6/3/2017 05:59:00","4616246"
"349","8.08","872","0","6/15/2017 11:15:03","4329499"
"347","39.77","179","0","6/9/2017 01:17:36","4456477"
"315","52.2","92","0","6/23/2017 22:14:47","4616364"
"338","47.85","106","0","6/9/2017 01:17:06","4616255"
"2","21.75","151","0","6/1/2017 07:07:06","4616325"
"434","62.14","48","0","6/3/2017 05:59:00","4616212"
"167","54.06","125","0","6/9/2017 01:17:06","4616312"
"265","49.71","148","0","6/29/2017 17:25:50","4620298"
"379","4.97","599","0","6/8/2017 21:18:31","4763650"
"126","29.83","247","0","6/16/2017 10:12:44","4616247"
"259","29.83","232","0","6/23/2017 22:14:46","4616223"
"106","6.21","333","0","6/27/2017 17:33:50","4616323"
"160","57.17","97","0","6/9/2017 01:17:06","4616266"
"213","19.26","123","0","6/30/2017 14:36:32","4456450"
"257","14.91","746","0","6/16/2017 11:38:44","4616318"
"149","19.88","360","0","6/16/2017 11:38:44","4616339"
"3","13.05","469","0","6/14/2017 07:04:43","4616324"
"4","29.2","302","0","6/3/2017 05:59:00","4616338"
"1","21.13","256","0","6/3/2017 05:59:00","4616337"
"257","31.69","363","0","6/2/2017 13:31:59","4616318"
"430","50.95","140","0","6/16/2017 11:38:43","4616213"
"379","4.97","372","0","6/29/2017 17:32:32","4763650"
"349","1.86","1229","0","6/15/2017 17:20:03","4329499"
"398","39.15","190","0","6/9/2017 01:17:37","4456481"
"171","26.1","457","0","6/20/2017 12:21:48","4616357"
"208","52.82","208","0","6/23/2017 22:14:47","4616350"
"295","55.3","21","0","6/8/2017 16:15:04","4616250"
"204","13.05","787","0","6/23/2017 22:14:47","4616320"
"207","62.14","122","0","6/29/2017 04:16:51","4616352"
"217","18.02","547","0","6/1/2017 09:41:59","4616328"
"387","31.69","165","0","6/20/2017 12:46:47","4616206"
"257","13.05","901","0","6/22/2017 10:46:01","4616318"
"169","62.76","147","0","6/3/2017 05:59:00","4616355"
"257","49.09","246","0","6/21/2017 02:41:48","4616318"
"170","64","59","0","6/3/2017 05:59:00","4616356"
"315","14.29","340","0","6/2/2017 07:46:59","4616364"
"402","16.78","392","0","6/8/2017 22:38:36","4456505"
"4","18.02","212","0","6/21/2017 02:11:49","4616338"
"330","27.96","177","0","6/6/2017 12:34:00","4329507"
"411","50.95","91","0","6/9/2017 01:17:37","4763652"
"398","42.25","193","0","6/3/2017 05:58:20","4456481"
"1","14.91","354","0","6/23/2017 22:14:47","4616337"
"426","31.07","221","0","6/23/2017 22:14:46","4616272"
"332","41.01","225","0","6/27/2017 14:31:50","4616354"
"184","52.2","50","0","6/23/2017 22:14:46","4616253"
"316","52.82","247","0","6/19/2017 13:58:37","4456516"
"338","6.21","956","0","6/29/2017 17:31:51","4616255"
"329","37.28","147","0","6/3/2017 00:33:38","4329508"
"424","13.05","281","0","6/28/2017 17:41:50","4616300"
"160","57.17","97","0","6/9/2017 01:17:06","4616266"
"295","52.2","72","0","6/23/2017 22:14:46","4616250"
"265","52.82","140","0","6/19/2017 13:58:11","4620298"
"412","6.21","327","0","6/22/2017 10:46:01","4616218"
"387","1.24","5547","0","6/8/2017 23:14:06","4616206"
"412","49.09","44","0","6/23/2017 22:14:46","4616218"
"265","55.92","132","0","6/9/2017 01:18:02","4620298"
"137","42.87","77","0","6/23/2017 22:14:46","4616260"
"126","54.06","137","0","6/15/2017 19:27:43","4616247"
"406","52.82","126","0","6/3/2017 05:58:20","4456506"
"344","29.83","147","0","6/28/2017 08:20:48","4620330"
"137","24.23","180","0","6/29/2017 17:31:51","4616260"
"330","18.02","280","0","6/16/2017 11:39:04","4329507"
"160","54.06","103","0","6/14/2017 02:06:43","4616266"
"3","21.75","292","0","6/8/2017 01:06:03","4616324"
"347","39.77","179","0","6/9/2017 01:17:36","4456477"
"316","16.78","895","0","6/22/2017 10:45:59","4456516"
"126","52.2","143","0","6/23/2017 22:14:46","4616247"
"169","62.76","147","0","6/3/2017 05:59:00","4616355"
"165","60.27","50","0","6/3/2017 05:59:00","4616305"
"423","21.75","267","0","6/23/2017 10:02:02","4616299"
"379","4.97","599","0","6/8/2017 21:18:31","4763650"
"388","16.16","102","0","6/15/2017 14:36:44","4616211"
"445","3.11","2141","0","6/2/2017 19:23:19","4456494"
"170","64","59","0","6/3/2017 05:59:00","4616356"
"380","55.92","55","0","6/9/2017 01:17:37","4763648"
"199","49.09","225","0","6/1/2017 18:29:59","4616351"
"145","26.72","94","0","6/16/2017 11:38:44","4616342"
"199","31.07","356","0","6/27/2017 17:33:51","4616351"
"379","1.24","2951","0","6/3/2017 00:38:20","4763650"
"338","47.85","106","0","6/9/2017 01:17:06","4616255"
"349","1.86","1229","0","6/15/2017 17:20:03","4329499"
"369","47.85","114","0","6/14/2017 06:55:43","4616282"
"262","44.74","308","0","6/23/2017 22:14:47","4616319"
"311","19.88","240","0","6/16/2017 11:39:20","4362342"
"177","19.88","216","0","6/29/2017 06:46:51","4616309"
"195","49.71","166","0","6/3/2017 05:58:39","4620310"
"330","18.02","280","0","6/16/2017 11:39:04","4329507"
"129","24.85","131","0","6/23/2017 20:36:46","4616246"
"388","1.86","813","0","6/23/2017 22:14:46","4616211"
"298","59.03","104","0","6/9/2017 01:17:37","4456498"
"165","57.17","50","0","6/9/2017 01:17:06","4616305"
"208","55.92","194","0","6/16/2017 11:38:44","4616350"
"347","45.98","175","0","6/21/2017 02:42:34","4456477"
"330","34.18","148","0","6/23/2017 22:11:49","4329507"
"405","39.15","40","0","6/6/2017 10:54:00","4362314"
"424","6.84","451","0","6/8/2017 08:45:04","4616300"
"204","31.07","410","0","6/9/2017 01:17:06","4616320"
"1","18.02","266","0","6/21/2017 02:41:49","4616337"
"344","42.25","106","0","6/9/2017 01:18:02","4620330"
"221","44.12","230","0","6/16/2017 11:38:44","4616333"
"137","45.98","243","0","6/21/2017 02:41:48","4616260"
"213","42.25","38","0","6/3/2017 05:58:20","4456450"
"119","1.86","2449","0","6/7/2017 19:40:31","4456502"
"318","9.94","374","0","6/2/2017 17:56:53","4362249"
"167","44.74","133","0","6/23/2017 22:14:46","4616312"
"369","1.86","2067","0","6/23/2017 22:14:46","4616282"
"338","57.17","89","0","6/3/2017 05:59:00","4616255"
"2","21.13","153","0","6/9/2017 01:17:06","4616325"
"149","14.91","479","0","6/23/2017 22:14:47","4616339"
"430","52.82","145","0","6/14/2017 07:04:43","4616213"
"141","47.85","88","0","6/21/2017 02:42:34","4456478"
"213","42.25","38","0","6/3/2017 05:58:20","4456450"
"129","65.87","70","0","6/9/2017 01:17:06","4616246"
"190","49.09","86","0","6/9/2017 01:18:02","4620332"
"413","47.85","44","0","6/1/2017 18:29:58","4616219"
"167","59.03","112","0","6/3/2017 05:59:00","4616312"
"155","26.1","267","0","6/1/2017 18:29:59","4616232"
"110","9.94","836","0","6/22/2017 10:46:01","4616281"
"338","57.17","89","0","6/3/2017 05:59:00","4616255"
"264","52.2","46","0","6/6/2017 22:10:31","4763655"
"311","54.06","92","0","6/9/2017 01:17:37","4362342"
"347","39.77","179","0","6/9/2017 01:17:36","4456477"
"160","24.85","217","0","6/14/2017 07:04:43","4616266"
"431","50.95","93","0","6/16/2017 11:38:43","4616214"
"390","31.69","71","0","6/6/2017 16:57:02","4616209"
"223","31.07","86","0","6/16/2017 11:38:44","4616341"
"394","42.25","172","0","6/9/2017 01:17:06","4616225"
"150","11.81","799","0","6/29/2017 13:46:52","4616340"
"212","47.85","231","0","6/16/2017 09:17:20","4362244"
"154","44.74","64","0","6/23/2017 22:14:46","4616229"
"195","13.05","619","0","6/19/2017 13:58:11","4620310"
"426","27.96","245","0","6/27/2017 14:06:50","4616272"
"3","19.26","336","0","6/20/2017 23:46:49","4616324"
"195","22.99","349","0","6/1/2017 18:27:37","4620310"
"318","11.18","351","0","6/14/2017 07:04:16","4362249"
"204","21.75","422","0","6/28/2017 10:11:50","4616320"
"411","50.95","91","0","6/9/2017 01:17:37","4763652"
"190","49.09","87","0","6/3/2017 05:58:40","4620332"
"349","1.86","1229","0","6/15/2017 17:20:03","4329499"
"411","26.72","170","0","6/28/2017 15:37:08","4763652"
"402","39.77","170","0","6/21/2017 02:42:34","4456505"
"258","49.09","87","0","6/16/2017 11:38:43","4616220"
"390","42.87","60","0","6/6/2017 18:12:02","4616209"
"170","59.03","64","0","6/16/2017 11:36:45","4616356"
"159","55.3","101","0","6/3/2017 05:59:00","4616252"
"423","8.08","398","0","6/27/2017 17:33:50","4616299"
"433","62.14","126","0","6/3/2017 05:59:00","4616215"
"319","49.71","188","0","6/23/2017 22:15:08","4362251"
"191","50.95","84","0","6/3/2017 05:58:39","4620331"
"388","1.86","593","0","6/20/2017 21:16:48","4616211"
"394","14.91","535","0","6/21/2017 02:32:48","4616225"
"315","36.04","138","0","6/13/2017 13:46:44","4616364"
"178","24.23","349","0","6/16/2017 11:38:44","4616297"
"204","31.69","313","0","6/22/2017 10:46:01","4616320"
"199","52.2","212","0","6/16/2017 11:38:44","4616351"
"258","47.22","91","0","6/23/2017 10:37:01","4616220"
"215","55.92","122","0","6/3/2017 05:59:00","4616329"
"159","55.3","101","0","6/9/2017 01:17:06","4616252"
"212","49.71","218","0","6/23/2017 22:15:08","4362244"
"398","39.15","190","0","6/9/2017 01:17:37","4456481"
"141","41.01","174","0","6/9/2017 01:17:36","4456478"
"417","32.93","138","0","6/19/2017 13:58:37","4763649"
"2","16.78","188","0","6/1/2017 13:16:58","4616325"
"168","42.87","107","0","6/9/2017 01:17:37","4456496"
"110","50.95","160","0","6/16/2017 11:38:44","4616281"
"169","45.98","199","0","6/14/2017 06:06:44","4616355"
"258","52.2","83","0","6/23/2017 22:14:46","4616220"
"448","47.22","418","0","6/16/2017 11:38:05","4620343"
"453","54.06","104","0","6/6/2017 23:24:03","4616239"
"211","59.03","277","0","6/16/2017 11:39:20","4362250"
"191","54.06","101","0","6/9/2017 00:41:02","4620331"
"170","49.09","76","0","6/19/2017 13:57:48","4616356"
"150","13.05","722","0","6/16/2017 11:38:44","4616340"
"165","57.17","50","0","6/9/2017 01:17:06","4616305"
"351","1.86","1837","0","6/16/2017 11:38:43","4616210"
"165","52.2","53","0","6/23/2017 22:14:46","4616305"
"202","50.95","45","0","6/23/2017 22:14:56","4456483"
"426","55.92","123","0","6/3/2017 05:59:00","4616272"
"258","3.73","902","0","6/29/2017 09:06:50","4616220"
"398","39.15","190","0","6/9/2017 01:17:37","4456481"
"318","52.82","74","0","6/9/2017 01:18:04","4362249"
"178","55.92","149","0","6/9/2017 01:17:06","4616297"
"351","1.86","1829","0","6/23/2017 22:14:46","4616210"
"411","50.95","91","0","6/9/2017 01:17:37","4763652"
"440","27.96","189","0","6/1/2017 18:27:36","4329483"
"129","29.83","100","0","6/19/2017 13:57:47","4616246"
"426","31.07","221","0","6/23/2017 22:14:46","4616272"
"430","19.26","402","0","6/9/2017 01:17:05","4616213"
"199","57.79","188","0","6/9/2017 01:17:06","4616351"
"332","45.98","201","0","6/16/2017 11:38:44","4616354"
"398","39.77","187","0","6/27/2017 17:33:07","4456481"
"394","42.25","172","0","6/9/2017 01:17:06","4616225"
"448","34.8","565","0","6/22/2017 10:46:53","4620343"
"315","60.27","83","0","6/9/2017 01:17:07","4616364"
"258","57.17","75","0","6/3/2017 05:59:00","4616220"
"445","1.24","6915","0","6/20/2017 19:08:34","4456494"
"402","44.12","156","0","6/2/2017 21:48:19","4456505"
"394","39.15","183","0","6/8/2017 22:50:05","4616225"
"330","44.12","114","0","6/3/2017 05:58:39","4329507"
"329","11.81","463","0","6/15/2017 20:14:03","4329508"
"387","1.24","5547","0","6/8/2017 23:14:06","4616206"
"298","57.79","54","0","6/3/2017 05:58:20","4456498"
"448","13.05","1509","0","6/30/2017 15:11:56","4620343"
"380","26.72","77","0","6/22/2017 10:45:59","4763648"
"430","1.86","2716","0","6/3/2017 03:31:59","4616213"
"154","21.75","191","0","6/14/2017 01:01:43","4616229"
"155","14.91","475","0","6/22/2017 10:46:01","4616232"
"422","37.9","233","0","6/2/2017 22:36:58","4616298"
"345","29.83","142","0","6/23/2017 22:10:54","4620314"
"168","42.87","107","0","6/9/2017 01:17:37","4456496"
"369","4.97","828","0","6/27/2017 17:33:50","4616282"
"262","39.77","310","0","6/28/2017 21:56:50","4616319"
"184","62.14","41","0","6/3/2017 05:59:00","4616253"
"453","6.84","639","0","6/14/2017 07:04:43","4616239"
"110","19.26","432","0","6/9/2017 01:17:06","4616281"
"433","57.79","134","0","6/7/2017 23:00:04","4616215"
"215","42.25","161","0","6/14/2017 07:04:43","4616329"
"332","57.17","146","0","6/1/2017 08:46:59","4616354"
"106","37.28","117","0","6/9/2017 01:17:06","4616323"
"416","27.96","174","0","6/1/2017 18:30:22","4763651"
"154","37.28","111","0","6/23/2017 20:41:46","4616229"
"402","44.74","152","0","6/6/2017 23:24:30","4456505"
"417","37.28","126","0","6/29/2017 05:36:31","4763649"
"344","36.04","122","0","6/23/2017 22:14:50","4620330"
"222","44.12","155","0","6/23/2017 22:14:47","4616332"
"168","42.87","107","0","6/9/2017 01:17:37","4456496"
"450","42.87","457","0","6/20/2017 16:41:49","4616346"
"418","50.95","56","0","6/9/2017 01:17:05","4616205"
"141","41.01","174","0","6/9/2017 01:17:36","4456478"
"406","44.12","155","0","6/23/2017 22:14:56","4456506"
"160","57.17","97","0","6/9/2017 01:17:06","4616266"
"445","8.7","722","0","6/23/2017 19:13:56","4456494"
"2","14.91","214","0","6/22/2017 10:46:01","4616325"
"222","42.87","157","0","6/16/2017 11:38:44","4616332"
"154","47.22","93","0","6/13/2017 23:26:43","4616229"
"221","44.74","224","0","6/23/2017 22:14:47","4616333"
"164","49.09","169","0","6/23/2017 22:14:56","4456497"
"325","34.8","159","0","6/16/2017 11:39:04","4329472"
"423","19.26","207","0","6/23/2017 13:02:02","4616299"
"410","13.05","340","0","6/28/2017 09:07:08","4763656"
"129","57.79","80","0","6/8/2017 11:40:04","4616246"
"405","39.15","40","0","6/6/2017 10:54:00","4362314"
"129","65.24","72","0","6/3/2017 05:59:00","4616246"
"394","47.22","155","0","6/3/2017 05:59:00","4616225"
"448","44.12","450","0","6/30/2017 21:06:57","4620343"
"332","27.96","320","0","6/29/2017 17:31:52","4616354"
"423","11.18","281","0","6/8/2017 15:40:05","4616299"
