"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"154","42.87","94","0","3/16/2019 10:33:11","4616229"
"211","53.43","308","-","3/21/2019 22:53:03","4362250"
"298","30.44","82","0","3/7/2019 19:27:05","4456498"
"424","38.52","138","0","3/27/2019 07:23:12","4616300"
"311","55.30","90","0","3/29/2019 05:53:07","4362342"
"426","55.92","123","0","3/29/2019 02:14:04","4616272"
"195","41.63","199","0","3/4/2019 16:44:03","4620310"
"441","60.89","129","0","3/22/2019 13:59:04","4616201"
"382","0.00","0","-","3/1/2019 11:36:12","4616216"
"347","31.06","231","0","3/31/2019 19:02:04","4456477"
"222","49.08","139","0","3/20/2019 02:23:04","4616332"
"349","0.00","0","-","3/7/2019 10:27:09","4329499"
"433","53.43","140","0","3/30/2019 23:44:04","4616215"
"388","52.81","54","0","3/24/2019 12:48:04","4616211"
"168","16.15","288","0","3/1/2019 16:45:02","4456496"
"369","0.00","0","-","3/15/2019 10:37:12","4616282"
"319","42.25","226","0","3/17/2019 16:08:06","4362251"
"364","25.47","210","0","3/16/2019 15:13:02","4456511"
"206","29.82","395","0","3/13/2019 07:22:07","4362252"
"388","57.16","50","0","3/13/2019 02:24:03","4616211"
"325","24.85","220","0","3/5/2019 14:28:04","4329472"
"167","45.36","141","0","3/31/2019 16:48:03","4616312"
"155","11.18","618","0","3/28/2019 09:48:14","4616232"
"154","54.68","74","0","3/21/2019 04:53:12","4616229"
"351","0.00","0","-","3/17/2019 10:48:13","4616210"
"380","50.33","46","0","3/24/2019 05:58:04","4763648"
"398","21.12","352","0","3/6/2019 22:13:05","4456481"
"418","37.90","56","0","3/20/2019 19:58:04","4616205"
"411","51.57","89","0","3/15/2019 03:08:02","4763652"
"168","47.84","97","0","3/17/2019 15:24:03","4456496"
"190","0.00","0","-","3/14/2019 13:48:08","4620332"
"441","61.51","127","0","3/27/2019 23:33:04","4616201"
"212","37.90","287","0","3/1/2019 16:45:06","4362244"
"330","37.28","132","0","3/9/2019 07:32:04","4329507"
"177","32.93","130","0","3/6/2019 11:19:12","4616309"
"422","50.33","178","0","3/6/2019 01:11:04","4616298"
"383","0.00","0","-","3/24/2019 09:58:10","4616217"
"124","18.64","347","0","3/1/2019 16:45:02","4456501"
"398","11.18","655","0","3/26/2019 15:28:05","4456481"
"205","42.25","381","0","3/4/2019 16:45:06","4362247"
"383","0.00","0","-","3/1/2019 09:12:12","4616217"
"325","32.31","171","0","3/14/2019 21:58:03","4329472"
"410","50.33","92","0","3/21/2019 19:33:03","4763656"
"381","52.81","30","0","3/26/2019 21:58:05","4616194"
"435","57.78","105","0","3/21/2019 02:18:04","4616198"
"199","14.29","741","0","3/25/2019 15:58:03","4616351"
"405","55.92","48","0","3/26/2019 06:18:06","4362314"
"433","55.30","135","0","3/1/2019 16:45:04","4616215"
"418","41.63","51","0","3/9/2019 23:33:04","4616205"
"185","49.08","51","0","3/10/2019 13:08:04","4616267"
"434","62.13","51","0","3/27/2019 13:23:03","4616212"
"349","0.00","0","-","3/31/2019 14:18:07","4329499"
"376","55.30","100","0","3/16/2019 00:43:03","4616192"
"178","53.43","154","-","3/7/2019 03:03:03","4616297"
"217","52.81","193","0","3/21/2019 04:18:04","4616328"
"170","42.87","88","0","3/15/2019 08:57:03","4616356"
"382","0.00","0","-","3/6/2019 23:43:11","4616216"
"390","38.52","101","0","3/1/2019 16:45:04","4616209"
"298","36.03","69","0","3/24/2019 01:18:05","4456498"
"195","12.42","664","0","3/25/2019 18:02:03","4620310"
"153","21.74","327","0","3/21/2019 07:03:13","4616235"
"448","31.06","636","0","3/12/2019 15:28:03","4620343"
"330","32.31","154","0","3/13/2019 07:12:03","4329507"
"261","45.36","95","0","3/24/2019 06:13:10","4616226"
"398","5.59","1321","0","3/8/2019 04:38:05","4456481"
"206","50.95","232","0","3/22/2019 03:14:06","4362252"
"129","47.84","97","0","3/30/2019 16:58:12","4616246"
"217","36.66","279","0","3/16/2019 04:23:09","4616328"
"380","44.73","52","0","3/29/2019 10:27:03","4763648"
"222","0.00","0","-","3/24/2019 10:08:05","4616332"
"428","50.33","106","0","3/27/2019 00:13:10","4616241"
"110","13.04","574","0","3/21/2019 22:58:04","4616281"
"406","31.06","219","0","3/1/2019 16:45:02","4456506"
"1","11.18","466","0","3/15/2019 16:18:11","4616337"
"325","25.47","218","-","3/13/2019 13:53:03","4329472"
"110","0.00","0","-","3/31/2019 00:14:11","4616281"
"412","42.25","50","0","3/1/2019 16:44:03","4616218"
"395","30.44","268","0","3/26/2019 10:48:05","4456476"
"402","47.84","142","0","3/21/2019 11:53:03","4456505"
"332","18.01","513","0","3/6/2019 06:39:03","4616354"
"1","15.53","337","0","3/18/2019 20:19:13","4616337"
"202","56.54","39","0","3/24/2019 06:18:04","4456483"
"417","52.81","88","0","3/1/2019 16:45:02","4763649"
"318","0.00","0","-","3/22/2019 13:53:06","4362249"
"164","53.43","87","0","3/26/2019 23:33:04","4456497"
"406","50.95","135","0","3/4/2019 16:45:04","4456506"
"215","0.00","0","-","3/16/2019 06:23:11","4616329"
"345","5.59","777","0","3/19/2019 14:13:03","4620314"
"165","64.00","39","-","3/16/2019 04:08:10","4616305"
"185","8.69","286","0","3/19/2019 09:03:04","4616267"
"222","39.76","172","0","3/8/2019 13:44:03","4616332"
"142","51.57","145","0","3/4/2019 16:45:13","4616261"
"184","32.93","77","0","3/1/2019 16:45:04","4616253"
"119","35.41","182","0","3/17/2019 11:58:03","4456502"
"142","45.98","162","0","3/26/2019 16:38:15","4616261"
"435","58.40","103","0","3/16/2019 02:13:03","4616198"
"2","9.94","324","0","3/9/2019 15:43:11","4616325"
"222","20.50","331","0","3/21/2019 13:58:12","4616332"
"150","31.06","310","0","3/4/2019 16:45:04","4616340"
"399","25.47","94","0","3/6/2019 15:09:13","4456452"
"347","36.66","196","0","3/28/2019 01:03:06","4456477"
"137","50.95","88","0","3/20/2019 13:18:12","4616260"
"423","43.49","123","0","3/23/2019 12:19:10","4616299"
"349","0.00","0","-","3/14/2019 02:38:07","4329499"
"349","0.00","0","-","3/10/2019 14:53:08","4329499"
"398","2.48","2516","0","3/24/2019 03:19:04","4456481"
"211","74.56","221","-","3/20/2019 01:23:04","4362250"
"184","48.46","52","0","3/19/2019 13:08:04","4616253"
"418","0.00","0","-","3/16/2019 11:43:11","4616205"
"110","52.19","148","0","3/28/2019 11:43:04","4616281"
"185","32.31","78","0","3/16/2019 21:13:13","4616267"
"153","16.77","422","0","3/18/2019 14:44:12","4616235"
"177","22.36","190","0","3/20/2019 19:58:11","4616309"
"424","22.99","230","0","3/22/2019 07:34:13","4616300"
"381","9.94","153","0","3/8/2019 07:14:04","4616194"
"257","43.49","290","0","3/30/2019 06:53:12","4616318"
"332","53.43","173","0","3/12/2019 15:09:04","4616354"
"164","52.81","88","0","3/14/2019 23:23:02","4456497"
"154","42.25","96","0","3/16/2019 15:38:13","4616229"
"141","7.45","967","0","3/31/2019 15:48:04","4456478"
"318","47.84","82","0","3/1/2019 13:08:07","4362249"
"412","47.22","45","0","3/26/2019 15:24:03","4616218"
"380","42.87","54","0","3/21/2019 13:03:02","4763648"
"345","16.15","264","0","3/28/2019 08:28:04","4620314"
"445","1.86","2556","-","3/22/2019 21:58:05","4456494"
"212","42.25","259","0","3/13/2019 08:27:06","4362244"
"375","49.08","134","0","3/8/2019 19:39:04","4616193"
