"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"413","42.87","50","0","11/10/2015 22:05:00","4616219"
"168","49.71","92","0","11/17/2015 04:40:04","4456496"
"145","19.26","133","0","11/13/2015 08:05:03","4616342"
"258","57.79","74","0","11/4/2015 12:50:17","4616220"
"444","14.29","244","0","11/24/2015 08:59:59","4616327"
"387","47.22","125","0","11/27/2015 09:30:01","4616206"
"4","14.29","221","0","11/19/2015 11:16:09","4616338"
"122","14.91","358","0","11/13/2015 16:30:05","4616344"
"425","9.94","997","0","11/13/2015 17:35:04","4616276"
"1","19.26","282","0","11/26/2015 18:40:01","4616337"
"434","62.14","52","0","11/25/2015 14:20:00","4616212"
"205","39.77","396","0","11/9/2015 06:40:18","4362247"
"428","54.06","99","0","11/1/2015 22:11:15","4616241"
"1","19.88","262","0","11/24/2015 22:39:59","4616337"
"377","54.06","73","0","11/23/2015 21:14:59","4616195"
"4","14.29","226","0","11/28/2015 17:50:02","4616338"
"450","49.09","403","0","11/12/2015 23:10:03","4616346"
"159","52.82","104","0","11/28/2015 11:30:02","4616252"
"190","11.18","369","0","11/7/2015 18:05:02","4620332"
"167","21.75","187","0","11/18/2015 22:16:09","4616312"
"422","47.22","188","0","11/8/2015 08:00:20","4616298"
"316","60.89","250","0","11/26/2015 04:54:55","4456516"
"402","42.87","160","0","11/18/2015 12:49:45","4456505"
"390","49.71","79","0","11/9/2015 09:20:21","4616209"
"382","34.18","209","0","11/21/2015 21:33:56","4616216"
"177","54.06","79","0","11/23/2015 03:39:59","4616309"
"126","26.1","293","0","11/28/2015 17:25:02","4616247"
"412","49.09","44","0","11/3/2015 00:45:17","4616218"
"412","49.09","44","0","11/15/2015 10:00:06","4616218"
"385","55.3","26","0","11/23/2015 23:44:59","4616208"
"4","9.94","308","0","11/8/2015 18:40:22","4616338"
"262","59.03","213","0","11/26/2015 03:45:02","4616319"
"436","52.2","99","0","11/20/2015 18:10:09","4616202"
"446","14.29","236","0","11/2/2015 13:35:16","4616326"
"213","39.15","61","0","11/11/2015 20:50:03","4456450"
"411","54.06","86","0","11/21/2015 22:20:35","4763652"
"345","36.04","121","0","11/11/2015 13:09:35","4620314"
"390","64","61","0","11/5/2015 01:50:18","4616209"
"165","52.2","48","0","11/3/2015 04:00:18","4616305"
"4","14.29","234","0","11/15/2015 16:55:06","4616338"
"418","39.15","73","0","11/28/2015 13:50:02","4616205"
"329","36.04","153","0","11/6/2015 20:26:00","4329508"
"431","57.79","86","0","11/13/2015 01:29:03","4616214"
"137","41.01","106","0","11/18/2015 17:36:08","4616260"
"331","49.71","157","0","11/10/2015 12:35:00","4616353"
"385","50.95","28","0","11/7/2015 08:39:20","4616208"
"259","16.16","249","0","11/27/2015 17:00:01","4616223"
"433","55.92","135","0","11/22/2015 00:43:57","4616215"
"169","54.06","171","0","11/7/2015 23:19:21","4616355"
"412","49.71","50","0","11/11/2015 21:05:02","4616218"
"154","16.16","245","0","11/1/2015 03:26:16","4616229"
"106","18.02","121","0","11/20/2015 03:41:09","4616323"
"223","29.83","87","0","11/30/2015 14:21:05","4616341"
"195","29.2","279","0","11/27/2015 18:13:57","4620310"
"434","62.76","51","0","11/18/2015 01:31:07","4616212"
"186","50.95","164","0","11/15/2015 05:40:41","4620315"
"165","52.2","48","0","11/24/2015 23:44:59","4616305"
"351","44.74","118","0","11/10/2015 07:40:00","4616210"
"418","49.71","130","0","11/25/2015 04:45:00","4616205"
"171","6.21","1819","0","11/10/2015 08:30:00","4616357"
"206","22.99","563","0","11/7/2015 18:05:15","4362252"
"330","41.01","122","0","11/11/2015 05:55:33","4329507"
"168","47.22","99","0","11/27/2015 23:13:55","4456496"
"124","34.18","191","0","11/4/2015 07:23:38","4456501"
"377","55.3","67","0","11/15/2015 12:18:05","4616195"
"446","16.78","212","0","11/23/2015 16:29:58","4616326"
"437","57.79","107","0","11/1/2015 22:11:15","4616203"
"205","57.17","281","0","11/2/2015 21:35:07","4362247"
"208","62.76","174","0","11/14/2015 05:15:05","4616350"
"298","42.87","58","0","11/6/2015 20:49:37","4456498"
"142","49.09","153","0","11/19/2015 20:16:10","4616261"
"345","37.28","118","0","11/14/2015 10:25:42","4620314"
"3","13.05","476","0","11/1/2015 17:11:15","4616324"
"177","52.82","81","0","11/12/2015 23:45:03","4616309"
"165","49.09","51","0","11/11/2015 20:20:02","4616305"
"387","45.98","105","0","11/3/2015 02:00:17","4616206"
"444","34.18","124","0","11/22/2015 18:20:00","4616327"
"148","45.98","327","0","11/9/2015 05:40:20","4616257"
"223","4.97","527","0","11/3/2015 19:20:19","4616341"
"435","57.17","107","0","11/11/2015 06:09:00","4616198"
"190","52.2","82","0","11/11/2015 00:44:35","4620332"
"351","45.98","115","0","11/19/2015 10:16:08","4616210"
"222","59.03","140","0","11/30/2015 04:46:04","4616332"
"422","26.1","340","0","11/10/2015 14:15:00","4616298"
"318","59.03","67","0","11/25/2015 03:50:09","4362249"
"264","42.87","50","0","11/28/2015 09:29:55","4763655"
"221","44.12","233","0","11/17/2015 13:51:08","4616333"
"204","54.06","209","0","11/1/2015 04:10:16","4616320"
"262","21.75","555","0","11/19/2015 17:51:09","4616319"
"204","3.73","2556","0","11/15/2015 11:57:06","4616320"
"381","37.9","42","0","11/3/2015 18:30:18","4616194"
"2","16.78","103","0","11/12/2015 10:40:03","4616325"
"140","32.93","92","0","11/3/2015 20:33:38","4456479"
"190","14.91","280","0","11/5/2015 20:04:36","4620332"
"124","34.8","182","0","11/8/2015 23:09:38","4456501"
"221","6.21","2175","0","11/14/2015 01:15:06","4616333"
"3","18.02","350","0","11/21/2015 08:40:11","4616324"
"315","47.22","106","0","11/18/2015 14:36:08","4616364"
"384","62.76","110","0","11/3/2015 01:20:16","4616199"
"453","4.97","1019","0","11/12/2015 12:40:02","4616239"
"425","36.04","295","0","11/14/2015 14:35:04","4616276"
"385","55.3","26","0","11/14/2015 07:05:04","4616208"
"331","54.06","146","0","11/14/2015 21:25:05","4616353"
"3","19.88","306","0","11/7/2015 02:19:20","4616324"
"259","26.72","147","0","11/7/2015 08:19:20","4616223"
"431","60.27","84","0","11/14/2015 20:25:04","4616214"
"441","60.27","130","0","11/15/2015 10:40:05","4616201"
"164","45.98","101","0","11/30/2015 23:10:54","4456497"
"224","8.08","135","0","11/5/2015 08:30:18","4616334"
"330","34.8","143","0","11/27/2015 16:02:57","4329507"
"338","4.97","890","0","11/21/2015 16:30:57","4616255"
"365","16.16","254","0","11/23/2015 10:04:35","4456510"
"191","50.95","84","0","11/27/2015 18:49:57","4620331"
"129","57.17","77","0","11/29/2015 02:46:03","4616246"
"206","36.04","327","0","11/2/2015 06:15:04","4362252"
"259","14.29","276","0","11/24/2015 08:59:59","4616223"
"384","65.87","106","0","11/26/2015 07:00:00","4616199"
"106","21.75","103","0","11/13/2015 01:29:04","4616323"
"394","39.77","182","0","11/11/2015 03:05:01","4616225"
"387","42.25","116","0","11/19/2015 10:01:09","4616206"
"382","50.95","140","0","11/4/2015 20:37:18","4616216"
"394","47.22","154","0","11/22/2015 00:43:57","4616225"
"446","18.02","312","0","11/23/2015 11:49:59","4616326"
"350","39.15","210","0","11/9/2015 06:40:20","4616196"
"344","36.04","124","0","11/17/2015 19:14:47","4620330"
"411","39.15","114","0","11/11/2015 17:38:03","4763652"
"344","34.8","186","0","11/2/2015 09:05:09","4620330"
"160","52.2","107","0","11/3/2015 21:55:17","4616266"
"394","39.15","185","0","11/25/2015 11:14:59","4616225"
"330","36.04","138","0","11/20/2015 23:48:00","4329507"
"364","27.96","144","0","11/5/2015 03:19:37","4456511"
"124","44.12","147","0","11/25/2015 01:09:35","4456501"
"311","31.69","153","0","11/2/2015 21:45:07","4362342"
"311","57.79","86","0","11/23/2015 23:14:39","4362342"
"123","6.84","183","0","11/23/2015 05:36:00","4616345"
"332","52.82","173","0","11/6/2015 20:30:19","4616354"
"369","37.28","106","0","11/28/2015 20:50:03","4616282"
"439","55.92","51","0","11/26/2015 08:55:01","4616200"
"332","57.17","162","0","11/3/2015 21:25:18","4616354"
"106","6.84","315","0","11/13/2015 16:45:04","4616323"
"106","16.78","132","0","11/12/2015 23:45:03","4616323"
"195","13.05","352","0","11/1/2015 17:49:02","4620310"
"453","50.95","85","0","11/9/2015 19:09:59","4616239"
"434","64","50","0","11/26/2015 06:40:00","4616212"
"413","42.25","51","0","11/13/2015 12:12:03","4616219"
"347","42.87","165","0","11/2/2015 21:11:36","4456477"
"259","29.83","136","0","11/15/2015 00:00:04","4616223"
"148","39.15","385","0","11/7/2015 09:55:19","4616257"
"332","55.92","165","0","11/12/2015 08:05:03","4616354"
"416","52.2","89","0","11/25/2015 00:34:35","4763651"
"365","16.16","254","0","11/23/2015 09:07:35","4456510"
"122","18.02","228","0","11/16/2015 08:00:06","4616344"
"440","57.17","135","0","11/23/2015 04:08:48","4329483"
"442","11.18","693","0","11/20/2015 21:00:09","4616335"
"379","54.06","48","0","11/26/2015 02:59:53","4763650"
"331","11.81","644","0","11/24/2015 06:09:59","4616353"
"380","41.01","61","0","11/14/2015 20:10:01","4763648"
"338","26.1","211","0","11/2/2015 07:21:17","4616255"
"311","24.23","206","0","11/25/2015 13:18:13","4362342"
"416","57.17","82","0","11/20/2015 00:20:35","4763651"
"436","57.79","90","0","11/27/2015 21:55:02","4616202"
"217","29.2","346","0","11/25/2015 12:25:01","4616328"
"384","62.14","113","0","11/28/2015 21:55:02","4616199"
"1","21.75","241","0","11/9/2015 17:25:21","4616337"
"258","49.71","85","0","11/20/2015 02:16:09","4616220"
"431","54.06","92","0","11/3/2015 01:08:16","4616214"
"369","4.97","817","0","11/13/2015 22:10:03","4616282"
"1","13.05","407","0","11/16/2015 09:50:06","4616337"
"186","52.2","158","0","11/5/2015 01:33:32","4620315"
"168","44.12","106","0","11/11/2015 14:23:03","4456496"
"426","49.09","141","0","11/28/2015 20:35:03","4616272"
"148","42.25","360","0","11/5/2015 04:10:18","4616257"
"145","31.69","80","0","11/18/2015 11:41:07","4616342"
"211","60.27","273","0","11/19/2015 10:44:26","4362250"
"351","49.71","108","0","11/8/2015 15:50:20","4616210"
"425","57.79","186","0","11/14/2015 04:15:05","4616276"
"186","44.74","182","0","11/28/2015 23:43:14","4620315"
"350","47.85","173","0","11/25/2015 16:05:00","4616196"
"141","34.8","204","0","11/7/2015 18:14:38","4456478"
"185","14.91","161","0","11/15/2015 18:00:05","4616267"
"202","41.01","53","0","11/23/2015 06:33:35","4456483"
"419","45.98","67","0","11/17/2015 22:20:06","4616204"
"345","39.15","111","0","11/11/2015 20:23:36","4620314"
"383","42.87","172","0","11/23/2015 21:01:59","4616217"
"329","39.15","141","0","11/15/2015 22:49:42","4329508"
"379","52.82","61","0","11/10/2015 02:24:38","4763650"
"224","11.18","108","0","11/7/2015 07:49:20","4616334"
"142","57.79","125","0","11/22/2015 21:09:59","4616261"
"199","55.92","196","0","11/16/2015 10:15:06","4616351"
"129","39.77","97","0","11/15/2015 15:15:05","4616246"
"124","37.9","168","0","11/9/2015 14:34:38","4456501"
"126","57.17","136","0","11/13/2015 01:29:04","4616247"
"345","37.9","115","0","11/28/2015 00:46:57","4620314"
"378","55.92","48","0","11/23/2015 15:24:59","4616197"
"172","54.06","79","0","11/13/2015 01:29:04","4616310"
"215","50.95","137","0","11/26/2015 06:00:01","4616329"
"431","60.89","82","0","11/21/2015 02:05:10","4616214"
"164","44.74","104","0","11/27/2015 22:54:54","4456497"
"160","55.3","100","0","11/14/2015 23:50:04","4616266"
"204","3.11","3676","0","11/10/2015 14:05:00","4616320"
"424","29.83","182","0","10/13/2015 05:15:15","4616300"
"2","19.26","166","0","11/21/2015 13:36:11","4616325"
"448","52.2","377","0","11/29/2015 03:55:15","4620343"
"202","24.85","88","0","11/20/2015 19:39:34","4456483"
"148","18.02","813","0","11/19/2015 13:56:10","4616257"
"168","45.98","101","0","11/21/2015 11:09:35","4456496"
"4","16.16","197","0","11/5/2015 02:45:18","4616338"
"410","52.82","87","0","11/30/2015 15:05:55","4763656"
"428","3.73","1162","0","11/15/2015 09:35:04","4616241"
"257","54.06","232","0","11/1/2015 05:02:17","4616318"
"427","47.22","189","0","11/30/2015 01:16:04","4616259"
"365","16.78","244","0","11/17/2015 08:09:43","4456510"
"215","29.2","235","0","11/20/2015 07:31:09","4616329"
"184","60.27","42","0","11/25/2015 02:20:00","4616253"
"398","44.74","166","0","11/7/2015 05:33:38","4456481"
"123","32.93","49","0","10/30/2015 18:05:14","4616345"
"259","42.25","97","0","11/22/2015 21:19:59","4616223"
"261","52.2","83","0","11/7/2015 12:03:20","4616226"
"190","6.84","550","0","11/25/2015 18:04:55","4620332"
"202","57.79","38","0","11/16/2015 05:40:04","4456483"
"412","47.85","45","0","11/29/2015 14:26:02","4616218"
"394","47.22","155","0","11/1/2015 05:02:16","4616225"
"444","29.2","112","0","11/25/2015 10:54:59","4616327"
"377","59.03","67","0","11/28/2015 10:15:02","4616195"
"425","52.82","203","0","11/22/2015 00:44:15","4616276"
"261","52.2","82","0","11/22/2015 00:30:58","4616226"
"157","41.01","369","0","11/11/2015 01:20:00","4616271"
"377","60.89","64","0","11/7/2015 02:44:20","4616195"
"190","54.06","79","0","11/28/2015 04:29:59","4620332"
"140","34.18","89","0","11/22/2015 21:40:35","4456479"
"350","50.95","164","0","11/1/2015 05:02:16","4616196"
"315","22.99","215","0","11/14/2015 18:20:05","4616364"
"169","39.77","227","0","11/16/2015 15:50:06","4616355"
"184","62.14","41","0","11/9/2015 05:25:21","4616253"
