"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"126","52.81","141","0","10/20/2018 18:13:46","4616247"
"154","30.44","133","0","10/5/2018 13:58:21","4616229"
"354","29.20","280","0","10/26/2018 06:48:22","4616228"
"426","8.69","750","0","10/11/2018 19:23:36","4616272"
"190","6.21","637","0","10/18/2018 12:43:24","4620332"
"199","33.55","325","0","10/10/2018 09:48:37","4616351"
"419","42.25","51","0","10/11/2018 04:23:19","4616204"
"110","0.00","0","-","10/13/2018 16:08:42","4616281"
"422","54.05","166","0","10/30/2018 04:43:19","4616298"
"345","30.44","144","0","10/22/2018 21:33:30","4620314"
"318","34.79","113","0","10/30/2018 09:33:23","4362249"
"165","42.87","58","-","10/25/2018 04:08:20","4616305"
"311","19.26","257","0","10/31/2018 08:30:26","4362342"
"369","0.00","0","-","10/9/2018 12:58:34","4616282"
"419","5.59","356","-","10/24/2018 09:48:36","4616204"
"436","0.00","0","-","10/24/2018 01:48:16","4616202"
"154","49.70","82","0","10/17/2018 05:23:21","4616229"
"441","61.51","127","0","10/7/2018 06:28:18","4616201"
"208","24.85","437","0","10/30/2018 18:08:35","4616350"
"171","9.32","1240","0","10/30/2018 12:58:18","4616357"
"145","29.20","89","0","10/30/2018 12:18:43","4616342"
"390","0.00","0","-","10/17/2018 23:07:21","4616209"
"110","43.49","177","0","10/10/2018 23:02:36","4616281"
"106","11.80","188","0","10/3/2018 05:58:38","4616323"
"428","47.84","111","0","10/20/2018 03:33:24","4616241"
"213","39.76","60","0","10/6/2018 10:08:29","4456450"
"431","55.30","90","0","10/24/2018 20:13:25","4616214"
"257","38.52","325","0","10/31/2018 20:18:18","4616318"
"208","62.13","177","0","10/31/2018 01:43:23","4616350"
"338","0.00","0","-","10/8/2018 00:33:18","4616255"
"416","53.43","87","0","10/9/2018 22:13:21","4763651"
"178","51.57","161","0","10/28/2018 14:38:19","4616297"
"388","55.30","51","0","10/25/2018 07:33:21","4616211"
"354","60.27","135","0","10/2/2018 01:13:13","4616228"
"388","0.00","0","-","10/21/2018 04:13:25","4616211"
"1","14.29","367","0","10/3/2018 20:43:30","4616337"
"402","57.16","120","0","10/3/2018 15:28:18","4456505"
"171","9.32","1235","0","10/10/2018 21:13:40","4616357"
"354","58.40","139","0","10/9/2018 14:08:20","4616228"
"433","52.81","142","0","10/8/2018 13:53:21","4616215"
"431","57.78","86","0","10/31/2018 17:13:05","4616214"
"155","18.64","384","0","10/13/2018 08:23:35","4616232"
"1","13.04","415","0","10/10/2018 23:28:21","4616337"
"208","40.38","271","0","10/7/2018 18:13:30","4616350"
"435","50.33","120","0","10/3/2018 05:48:20","4616198"
"184","44.11","57","0","10/22/2018 16:58:24","4616253"
"217","53.43","190","0","10/30/2018 04:48:20","4616328"
"204","15.53","726","0","10/10/2018 07:38:38","4616320"
"204","39.76","290","0","10/6/2018 21:33:40","4616320"
"426","9.32","715","0","10/5/2018 16:58:29","4616272"
"388","52.81","54","0","10/15/2018 12:18:23","4616211"
"211","39.76","416","0","10/10/2018 07:28:25","4362250"
"416","47.84","97","0","10/3/2018 19:33:25","4763651"
"160","0.00","0","-","10/9/2018 06:13:21","4616266"
"345","31.06","138","0","10/14/2018 02:23:22","4620314"
"217","9.32","1056","0","10/12/2018 23:07:20","4616328"
"406","47.84","143","0","10/29/2018 16:38:24","4456506"
"221","36.66","279","0","10/9/2018 20:08:27","4616333"
"195","24.85","334","0","10/17/2018 10:18:27","4620310"
