"Id","Speed","TravelTime","Status","DataAsOf","linkId"
"448","15.53","1251","0","9/25/2019 16:43:03","4620343"
"164","44.73","96","0","9/6/2019 06:53:03","4456497"
"436","62.13","83","0","9/30/2019 09:08:04","4616202"
"202","51.57","42","0","9/5/2019 21:17:03","4456483"
"427","11.18","790","0","9/3/2019 16:18:10","4616259"
"171","0.00","0","-","9/25/2019 16:13:12","4616357"
"202","47.84","46","0","9/12/2019 16:34:02","4456483"
"436","61.51","84","0","9/6/2019 06:13:04","4616202"
"369","0.00","0","-","9/30/2019 06:17:03","4616282"
"137","59.65","74","0","9/26/2019 04:23:03","4616260"
"159","46.60","118","0","9/18/2019 09:32:11","4616252"
"199","49.08","223","0","9/2/2019 17:53:11","4616351"
"311","58.40","86","0","9/21/2019 03:57:03","4362342"
"315","22.99","217","0","9/6/2019 19:13:04","4616364"
"295","0.00","0","-","9/1/2019 23:02:12","4616250"
"298","47.22","53","0","9/16/2019 04:33:03","4456498"
"159","0.00","0","-","9/1/2019 04:33:04","4616252"
"259","0.00","0","-","9/10/2019 18:37:11","4616223"
"319","18.01","523","0","9/24/2019 08:07:03","4362251"
"440","52.19","147","0","9/12/2019 01:02:08","4329483"
"221","45.36","223","0","9/11/2019 11:28:04","4616333"
"453","56.54","97","0","9/12/2019 05:11:11","4616239"
"430","60.27","130","0","9/27/2019 00:23:04","4616213"
"206","56.54","208","-","9/8/2019 04:43:03","4362252"
"428","46.60","115","0","9/25/2019 20:27:11","4616241"
"418","42.25","50","0","9/28/2019 22:53:04","4616205"
"376","50.33","109","0","9/25/2019 16:38:03","4616192"
"416","53.43","87","0","9/17/2019 12:53:03","4763651"
"412","49.70","43","0","9/15/2019 04:37:04","4616218"
"106","14.29","157","0","9/21/2019 21:34:04","4616323"
"398","43.49","172","0","9/21/2019 16:13:02","4456481"
"398","44.73","167","0","9/7/2019 01:59:03","4456481"
"364","29.20","187","0","9/10/2019 20:27:03","4456511"
"319","29.82","317","0","9/14/2019 11:48:03","4362251"
"215","10.56","652","0","9/11/2019 13:53:04","4616329"
"390","60.27","65","0","9/2/2019 10:18:03","4616209"
"330","6.83","715","0","9/2/2019 05:32:08","4329507"
"412","38.52","55","0","9/26/2019 06:27:03","4616218"
"140","22.36","124","0","9/19/2019 11:43:03","4456479"
"398","43.49","172","0","9/18/2019 18:23:03","4456481"
"172","44.73","96","0","9/22/2019 00:42:04","4616310"
"347","47.84","144","0","9/29/2019 10:13:03","4456477"
"150","8.69","1106","0","9/21/2019 21:47:12","4616340"
"425","53.43","201","0","9/14/2019 04:22:04","4616276"
"388","54.68","52","0","9/17/2019 07:09:03","4616211"
"385","3.10","416","0","9/12/2019 08:17:12","4616208"
"418","52.19","41","0","9/10/2019 10:22:14","4616205"
"140","6.83","381","0","9/26/2019 18:13:03","4456479"
"195","47.22","175","0","9/3/2019 03:02:03","4620310"
"150","11.80","788","0","9/18/2019 04:03:11","4616340"
"265","40.38","181","0","9/27/2019 21:28:03","4620298"
"319","52.19","184","0","9/17/2019 22:02:03","4362251"
"221","42.87","237","0","9/13/2019 11:18:03","4616333"
"375","47.84","137","0","9/16/2019 18:52:04","4616193"
"417","42.87","107","0","9/13/2019 12:44:03","4763649"
"126","54.05","138","0","9/20/2019 13:22:04","4616247"
"439","36.66","78","0","9/15/2019 14:48:11","4616200"
"257","0.00","0","-","9/10/2019 01:02:11","4616318"
"257","31.68","395","0","9/24/2019 20:57:12","4616318"
"380","55.30","41","0","9/12/2019 12:13:04","4763648"
"354","0.00","0","-","9/11/2019 07:07:11","4616228"
"221","32.93","306","0","9/12/2019 07:57:12","4616333"
"426","18.01","377","0","9/30/2019 19:13:12","4616272"
"364","35.41","155","0","9/13/2019 03:04:03","4456511"
"345","2.48","1643","0","9/22/2019 21:35:08","4620314"
"422","35.41","250","0","9/24/2019 10:12:03","4616298"
"331","12.42","632","0","9/18/2019 14:53:10","4616353"
"385","13.67","104","0","9/5/2019 15:03:03","4616208"
"262","21.12","585","0","9/24/2019 16:27:11","4616319"
"2","0.00","0","-","9/29/2019 09:53:10","4616325"
"213","38.52","61","0","9/15/2019 09:04:03","4456450"
"169","54.05","170","0","9/5/2019 23:13:04","4616355"
"435","57.16","106","0","9/6/2019 02:34:04","4616198"
"418","45.98","46","0","9/17/2019 02:17:03","4616205"
"195","16.15","510","0","9/19/2019 08:53:03","4620310"
"141","14.91","464","0","9/15/2019 18:19:03","4456478"
