,Speed,TravelTime,DataAsOf,linkId
1017582,44.125,166,7/26/2015 01:20:35,4616225
483704,11.8125,569,9/3/2015 11:34:38,4456506
306489,32.9375,80,6/8/2015 04:25:55,4616341
407017,50.9375,108,12/10/2015 20:59:45,4616266
121863,57.79,130,8/3/2015 23:00:24,4616261
735545,60.28125,105,10/19/2015 06:59:35,4616203
458429,52.1875,48,11/13/2015 13:49:17,4616305
431369,11.1796875,354,12/11/2015 11:04:29,4456511
305583,34.8125,132,4/25/2015 15:14:58,4456496
633095,37.9,144,5/18/2015 13:28:32,4329472
172699,6.2109375,1010,10/5/2015 04:16:11,4616335
952400,52.2,290,5/26/2015 05:01:13,4616365
685818,6.84,356,8/17/2015 17:42:32,4616341
121638,55.90625,48,10/3/2015 22:26:10,4616197
1072949,52.1875,242,9/18/2015 00:40:43,4616318
165039,14.2890625,430,9/25/2015 15:31:12,4620332
887716,8.703125,245,11/24/2015 09:19:35,4456452
1195804,55.3125,139,10/30/2015 10:01:13,4616281
877876,37.28125,173,11/24/2015 02:39:35,4456501
495770,16.15625,579,7/12/2015 20:19:28,4362251
348994,19.26,170,5/11/2015 13:25:51,4616338
279818,42.87,99,5/9/2015 21:25:50,4616226
1189298,8.7,909,8/30/2015 16:51:14,4616259
792031,55.90625,96,12/21/2015 07:35:27,4616241
560041,62.125,40,6/14/2015 03:41:00,4616267
1103108,52.1875,80,12/29/2015 10:24:35,4616250
372435,49.71,137,8/10/2015 02:15:29,4616329
48692,29.828125,136,6/2/2015 01:55:52,4456511
885957,14.2890625,385,6/21/2015 16:24:22,4329473
1113904,52.1875,72,10/28/2015 10:31:03,4616356
418498,44.75,107,7/11/2015 00:30:51,4616206
73616,22.99,73,8/2/2015 17:42:24,4616345
167813,31.0625,208,12/5/2015 01:05:40,4456502
638711,22.99,353,8/16/2015 18:00:30,4616196
457847,11.8125,210,11/13/2015 13:49:04,4616267
280280,14.2890625,1037,7/7/2015 18:04:49,4616257
1044853,3.109375,1483,7/25/2015 23:45:35,4616260
898254,57.15625,75,7/23/2015 01:15:33,4616260
1069251,34.1875,163,7/27/2015 15:44:46,4329473
235462,49.71875,136,11/8/2015 04:29:38,4456506
143793,39.77,87,8/4/2015 11:45:25,4616204
1062356,47.84375,90,12/28/2015 11:10:35,4616309
210153,21.125,263,9/26/2015 12:02:11,4329508
419212,55.3125,111,11/12/2015 14:55:02,4616198
380249,26.71875,187,4/27/2015 09:50:03,4616255
377159,47.84375,187,12/10/2015 02:25:44,4616259
1071056,31.0625,139,11/28/2015 19:25:14,4620314
62603,29.203125,143,9/22/2015 21:40:55,4456511
273300,54.0625,46,12/7/2015 14:21:29,4763648
161853,41.0,159,6/4/2015 20:22:26,4456501
774280,39.15625,151,7/19/2015 17:36:02,4616215
89914,49.09375,29,4/20/2015 12:40:36,4616208
270604,31.0625,473,4/24/2015 19:20:02,4616257
683638,52.1875,382,6/17/2015 02:25:11,4620343
513924,57.78125,127,6/13/2015 02:28:26,4620298
192670,45.98,199,5/7/2015 19:25:48,4616354
1083880,19.265625,117,7/28/2015 08:10:36,4616323
1026303,50.9375,26,9/16/2015 21:25:41,4616267
530686,29.203125,205,6/13/2015 11:39:59,4616267
818707,49.71875,111,11/22/2015 17:24:58,4616252
764187,49.71875,118,9/10/2015 12:40:27,4616310
233116,47.21875,174,9/27/2015 06:49:55,4456476
473474,52.1875,103,7/12/2015 07:44:53,4616210
1181423,42.875,165,9/20/2015 15:49:56,4456500
818412,55.3125,29,6/20/2015 03:45:22,4616194
200230,27.953125,146,7/5/2015 17:25:34,4456510
436703,31.6875,204,9/2/2015 08:02:38,4456501
857680,49.71875,143,7/22/2015 02:16:05,4616232
283270,32.9375,160,11/9/2015 08:10:21,4616299
603542,52.8125,87,9/6/2015 09:24:37,4763651
414978,60.28125,117,7/10/2015 22:30:52,4616199
130792,19.265625,274,10/4/2015 02:34:11,4616344
1235187,37.90625,148,10/31/2015 08:30:00,4620330
